meas:1 6/4 ticks:4608
  0   1  0.000 v1 s1 t=0    re1_1RM         R   M.   -- --- | damp:down section:7000 metro:q:80
  1   1  0.000 v5 s2 t=0    n1_5A2t_0       A2  t    -- --o | d:ppp
  2   1  0.083 v5 s2 t=85   n1_5Fs1t_0      F#1 t    -- --o | d:ppp
  3   1  0.166 v5 s2 t=170  n1_5Cs2t_0      C#2 t    -- --o | d:ppp
  4   1  0.249 v5 s2 t=255  n1_5A2t_1       A2  t    -- --o | d:ppp
  5   1  0.332 v5 s2 t=340  n1_5Cs2t_1      C#2 t    -- --o | d:ppp
  6   1  0.415 v5 s2 t=425  n1_5Fs1s_0      F#1 s    -- --o | d:ppp
  7   1  0.582 v5 s2 t=596  n1_5A2t_2       A2  t    -- --o | d:ppp
  8   1  0.665 v5 s2 t=681  n1_5Cs2t_2      C#2 t    -- --o | d:ppp
  9   1  0.748 v5 s2 t=766  n1_5A2t_3       A2  t    -- --o | d:ppp
 10   1  0.831 v5 s2 t=851  n1_5Fs1t_1      F#1 t    -- --o | d:ppp
 11   1  0.914 v5 s2 t=936  n1_5Cs2t_3      C#2 t    -- --o | d:ppp
 12   1  0.997 v5 s2 t=1021 n1_5A2t_4       A2  t    -- --o | d:ppp
 13   1  1.080 v5 s2 t=1106 n1_5Cs2t_4      C#2 t    -- --o | d:ppp
 14   1  1.163 v5 s2 t=1191 n1_5Fs1s_1      F#1 s    -- --o | d:ppp
 15   1  1.330 v5 s2 t=1362 n1_5A2t_5       A2  t    -- --o | d:ppp
 16   1  1.413 v5 s2 t=1447 n1_5Cs2t_5      C#2 t    -- --o | d:ppp
 17   1  1.496 v5 s2 t=1532 n1_5A2t_6       A2  t    -- --o | d:ppp
 18   1  1.579 v5 s2 t=1617 n1_5Fs1t_2      F#1 t    -- --o | d:ppp
 19   1  1.662 v5 s2 t=1702 n1_5Cs2t_6      C#2 t    -- --o | d:ppp
 20   1  1.745 v5 s2 t=1787 n1_5A2t_7       A2  t    -- --o | d:ppp
 21   1  1.828 v5 s2 t=1872 n1_5Cs2t_7      C#2 t    -- --o | d:ppp+
 22   1  1.911 v5 s2 t=1957 n1_5Fs1s_2      F#1 s    -- --o | d:ppp+
