meas,new_id,piano,orig_id,octave,note
1,7000,A,5967,0,
10,7003,A,5969,0,
18,7009,A,5920,0,
25,7014,A,5974,0,
26,7015,A,5975,0,
30,7017,A,5976,0,
35,7021,A,5926,0,
36,7023,A,5927,0,
41,7027,A,5928,0,
52,7031,A,5929,0,
56,7035,A,5930,0,
59,7038,A,5986,0,
61,7040,A,5987,0,
64,7042,A,5931,0,
70,7046,A,5987,0,
78,7051,A,5933,0,
82,7055,A,5976,0,
83,7056,A,5977,0,
87,7058,A,5992,0,
88,7059,A,5993,0,
90,7063,A,5993,0,
91,7064,A,5936,0,
92,7065,A,5937,0,
104,7067,A,5993,0,
104,7068,A,5993,0,
108,7070,A,5998,0,
116,7074,A,6000,0,
125,7082,A,6000,0,
127,7084,A,6001,0,
131,7087,A,5930,0,
133,7089,A,5941,0,
138,7093,A,5997,0,
142,7096,A,6006,0,
144,7099,A,6007,0,
149,7101,A,5943,0,
151,7104,A,6010,0,
153,7106,A,6011,0,
155,7108,A,5946,0,
160,7112,A,5948,0,
165,7116,A,6016,0,
167,7118,A,6016,0,
167,7120,A,6017,0,
169,7123,A,6008,0,
171,7126,A,6010,1,different octaves
175,7128,A,6010,1,
177,7129,A,6011,0,
182,7132,A,5940,0,here two fragments from part 1 coincide (unusual)
185,7133,A,5999,0,
200,7138,A,5969,0,different octaves
202,7139,A,5997,0,
205,7142,A,5969,0,
205,7143,A,5956,0,
210,7146,A,6027,0,
214,7148,A,6024,0,
222,7151,A,6028,0,
223,7154,A,6029,0,
226,7157,A,5997,0,
228,7158,A,5997,0,this is not actually a new section but because it changes from Spirio to human I assign a new code
236,7165,A,6034,0,
238,7167,A,6035,0,
243,7171,A,5978,0,
245,7172,A,5978,0,
249,7175,A,5979,0,
253,7179,A,6044,0,
253,7181,A,6045,0,
256,7185,A,5960,0,
261,7189,A,6048,0,
261,7190,A,6049,0,
266,7194,A,6052,0,
268,7195,A,6053,0,
271,7197,A,6032,0,
272,7198,A,5962,0,
279,7204,A,6058,0,
282,7205,A,6059,0,
285,7208,A,5963,0,
291,7213,A,6062,0,
292,7215,A,6063,0,
295,7220,A,5993,0,
296,7221,A,5964,0,
299,7226,A,6066,0,
304,7230,A,6018,0,Spirio to human
305,7232,A,5964,0,
311,7235,A,6070,0,
313,7237,A,6071,0,
317,7238,A,6071,0,
321,7242,A,5965,0,
323,7245,A,6074,0,
328,7250,A,5989,0,
329,7252,A,5990,0,
330,7253,A,5991,0,
332,7258,A,6075,0,assigned to red
337,7263,A,6076,0,assigned to purple
339,7266,A,6076,0,assigned to purple
344,7269,A,5965,0,
347,7272,A,6078,0,assigned to purple
