meas,sec,art_dur_sec,status,d0,d1,oloc,section,sci_pitch,grace,even,even_target,dyn,dyn_target,tempo,tempo_target,note_id,loc,bar,src,src_meas,index
,,,,,,,7001,,,,,,,,,,,,gutim,,
,,,,,,,,,,,,,,,,,,2,,,
2,7.8,0.06,144,65,11,0,,F4,g,,,,,,,ng2_1F4e_0,0,,gutim,2,
2,7.875,0.06,144,63,14,1,,Eb4,g,,,,,,,ng2_1Eb4e,1,,gutim,2,
2,7.95,0.06,144,45,14,2,,A2,g,,,,,,,ng2_1A2e,2,,gutim,2,
2,8.025,0.06,144,30,14,3,,F#1,g,,,,,,,ng2_1Fs1e,3,,gutim,2,
2,8.1,0.06,144,37,14,4,,C#2,g,,,,,,,ng2_1Cs2e,4,,gutim,2,
2,8.175,0.06,144,65,24,5,,F4,g,,,,,,,ng2_1F4e_1,5,,gutim,2,
,,,,,,,,,,,,,,,,,,3,,,
3,8.25,5.4,144,87,22,6,,Eb6,,,,,,,,n3_1Eb6w,6,,gutim,3,
3,8.25,5.4,144,36,14,6,,C2,,,,,,,,n3_5C2w,6,,gutim,3,
3,8.25,5.4,144,46,14,6,,Bb2,,,,,,,,n3_5Bb2w,6,,gutim,3,
,,,,,,,,,,,,,,,,,,4,,,
4,15.75,4.8,144,85,8,7,,Db6,,,,,,,,n4_1Db6q,7,,gutim,4,
,,,,,,,,,,,,,,,,,,6,,,
6,21.75,6.6,144,100,20,8,,E7,,,,,,,,n6_1E7h_0,8,,gutim,6,
,,,,,,,,,,,,,,,,,,9,,,
9,35.25,0.3,144,80,22,9,,G#5,,,,,,,,n9_1Gs5e,9,,gutim,9,
9,35.625,2.7,144,93,23,10,,A6,,,,,,,,n9_1A6e,10,,gutim,9,
,,,,,,,,,,,,,,,,,,10,,,
10,42.9,0.06,144,93,14,11,,A6,g,,,,,,,ng10_1A6e,11,,gutim,10,
10,42.975,0.06,144,36,14,12,,C2,g,,,,,,,ng10_1C2e,12,,gutim,10,
10,43.05,0.06,144,66,14,13,,F#4,g,,,,,,,ng10_1Fs4e,13,,gutim,10,
10,43.125,0.3562,144,66,14,14,,F#4,,,,,,,,n10_1Fs4e,14,,gutim,10,
,,,,,,,,,,,,,,,,,,11,,,
11,43.5,4.6312,144,100,14,15,,E7,,,,,,,,n11_1E7w,15,,gutim,11,
,,,,,,,,,,,,,,,,,,12,,,
12,48.375,0.75,144,92,14,16,,G#6,,,,,,,,n12_1Gs6e_0,16,,gutim,12,
12,48.375,1.5,144,45,14,16,,A2,,,,,,,,n12_5A2e,16,,gutim,12,
12,49.3125,2.55,144,79,14,17,,G5,,,,,,,,n12_1G5s,17,,gutim,12,
12,50.25,2.4,144,46,14,18,,Bb2,,,,,,,,n12_5Bb2h,18,,gutim,12,
,,,,,,,,,,,,,,,,,,13,,,
13,52.8,0.06,144,36,14,19,,C2,g,,,,,,,ng13_5C2e,19,,gutim,13,
13,52.875,0.06,144,81,14,20,,A5,g,,,,,,,ng13_5A5e_0,20,,gutim,13,
13,52.95,0.06,144,88,14,21,,E6,g,,,,,,,ng13_5E6e,21,,gutim,13,
13,53.025,0.06,144,54,14,22,,F#3,g,,,,,,,ng13_5Fs3e,22,,gutim,13,
13,53.1,0.06,144,80,14,23,,G#5,g,,,,,,,ng13_5Gs5e,23,,gutim,13,
13,53.175,0.06,144,81,14,24,,A5,g,,,,,,,ng13_5A5e_1,24,,gutim,13,
13,53.25,0.6,144,50,14,25,,D3,,,,,,,,n13_5D3q,25,,gutim,13,
13,53.25,0.6,144,52,14,25,,E3,,,,,,,,n13_5E3q,25,,gutim,13,
13,53.25,0.6,144,24,14,25,,C1,,,,,,,,n13_6C1q_0,25,,gutim,13,
,,,,,,,7005,,,,,,,,,,,,gutim,,
13,56.25,4.8,144,24,14,26,,C1,,,,,,,,n13_6C1q_1,26,,gutim,13,
13,56.625,0.9,144,84,5,27,,C6,,,,,,,,n13_1C6e,27,,gutim,13,
13,56.625,0.9,144,89,5,27,,F6,,,,,,,,n13_1F6e,27,,gutim,13,
,,,,,,,,,,,,,,,,,,14,,,
14,57.75,3.6,144,57,11,28,,A3,,,,,,,,n14_5A3w,28,,gutim,14,
14,58.25,0.8,144,85,5,29,,C#6,,,,,,,,n14_1Cs6e,29,,gutim,14,
14,59.625,0.3,144,44,11,30,,Ab2,,,,,,,,n14_1Ab2e,30,,gutim,14,
14,60.0,0.5,144,58,9,31,,Bb3,,,,,,,,n14_1Bb3q,31,,gutim,14,
14,60.625,0.05,144,97,5,32,,Db7,,,,,,,,n14_1Db7t,32,,gutim,14,
14,60.6875,0.05,144,46,5,33,,Bb2,,,,,,,,n14_1Bb2t,33,,gutim,14,
14,60.75,0.4,144,40,6,34,,E2,,,,,,,,n14_1E2q,34,,gutim,14,
14,61.25,0.4,144,85,8,35,,Db6,,,,,,,,n14_1Db6q,35,,gutim,14,
14,61.75,0.4,144,72,14,36,,C5,,,,,,,,n14_1C5q,36,,gutim,14,
,,,,,,,7006,,,,,,,,,,,,gutim,,
,,,,,,,,,,,,,,,,,,15,,,
15,62.25,0.0602,144,34,6,37,,Bb1,,,,,,,,n15_5Bb1t_0,37,,gutim,15,
15,62.3252,0.0602,144,33,6,38,,A1,,,,,,,,n15_5A1t_0,38,,gutim,15,
15,62.4004,0.0602,144,34,6,39,,Bb1,,,,,,,,n15_5Bb1t_1,39,,gutim,15,
15,62.417,0.1586,144,79,6,40,,G5,,,,,,,,n15_1G5s_0,40,,gutim,15,
15,62.4756,0.1203,144,33,6,41,,A1,,,,,,,,n15_5A1s_0,41,,gutim,15,
15,62.584,0.1586,144,73,7,42,,Db5,,,,,,,,n15_1Db5s_0,42,,gutim,15,
15,62.626,0.0602,144,34,7,43,,Bb1,,,,,,,,n15_5Bb1t_2,43,,gutim,15,
15,62.7012,0.0602,144,33,7,44,,A1,,,,,,,,n15_5A1t_1,44,,gutim,15,
15,62.751,0.2375,144,79,7,45,,G5,,,,,,,,n15_1G5s_1,45,,gutim,15,
15,62.7764,0.0602,144,34,7,46,,Bb1,,,,,,,,n15_5Bb1t_3,46,,gutim,15,
15,62.8516,0.1203,144,33,7,47,,A1,,,,,,,,n15_5A1s_1,47,,gutim,15,
15,63.001,0.1586,144,73,8,48,,Db5,,,,,,,,n15_1Db5s_1,48,,gutim,15,
15,63.002,0.0602,144,34,8,48,,Bb1,,,,,,,,n15_5Bb1t_4,48,,gutim,15,
15,63.0771,0.0602,144,33,8,49,,A1,,,,,,,,n15_5A1t_2,49,,gutim,15,
15,63.1523,0.0602,144,34,8,50,,Bb1,,,,,,,,n15_5Bb1t_5,50,,gutim,15,
15,63.168,0.1586,144,79,8,51,,G5,,,,,,,,n15_1G5s_2,51,,gutim,15,
15,63.2275,0.1203,144,33,8,52,,A1,,,,,,,,n15_5A1s_2,52,,gutim,15,
15,63.335,0.1586,144,73,9,53,,Db5,,,,,,,,n15_1Db5s_2,53,,gutim,15,
15,63.3779,0.0602,144,34,9,54,,Bb1,,,,,,,,n15_5Bb1t_6,54,,gutim,15,
15,63.4531,0.0602,144,33,9,55,,A1,,,,,,,,n15_5A1t_3,55,,gutim,15,
15,63.502,0.2375,144,79,9,56,,G5,,,,,,,,n15_1G5s_3,56,,gutim,15,
15,63.5283,0.0602,144,34,9,57,,Bb1,,,,,,,,n15_5Bb1t_7,57,,gutim,15,
15,63.6035,0.1203,144,33,9,58,,A1,,,,,,,,n15_5A1s_3,58,,gutim,15,
15,63.752,0.1586,144,73,14,59,,Db5,,,,,,,,n15_1Db5s_3,59,,gutim,15,
15,63.7539,0.0602,144,34,14,60,,Bb1,,,,,,,,n15_5Bb1t_8,60,,gutim,15,
15,63.8291,0.0602,144,33,14,61,,A1,,,,,,,,n15_5A1t_4,61,,gutim,15,
15,63.9043,0.0602,144,34,14,62,,Bb1,,,,,,,,n15_5Bb1t_9,62,,gutim,15,
15,63.9189,0.1586,144,79,14,63,,G5,,,,,,,,n15_1G5s_4,63,,gutim,15,
15,63.9795,0.1203,144,33,14,64,,A1,,,,,,,,n15_5A1s_4,64,,gutim,15,
15,64.0859,0.1586,144,73,14,65,,Db5,,,,,,,,n15_1Db5s_4,65,,gutim,15,
15,64.1299,0.0602,144,34,14,66,,Bb1,,,,,,,,n15_5Bb1t_10,66,,gutim,15,
15,64.2051,0.0602,144,33,14,67,,A1,,,,,,,,n15_5A1t_5,67,,gutim,15,
15,64.2529,0.2375,144,79,14,68,,G5,,,,,,,,n15_1G5s_5,68,,gutim,15,
15,64.2803,0.0602,144,34,14,69,,Bb1,,,,,,,,n15_5Bb1t_11,69,,gutim,15,
15,64.3555,0.1203,144,33,14,70,,A1,,,,,,,,n15_5A1s_5,70,,gutim,15,
15,64.5029,0.1586,144,73,14,71,,Db5,,,,,,,,n15_1Db5s_5,71,,gutim,15,
15,64.5059,0.0602,144,34,14,71,,Bb1,,,,,,,,n15_5Bb1t_12,71,,gutim,15,
15,64.5811,0.0602,144,33,14,72,,A1,,,,,,,,n15_5A1t_6,72,,gutim,15,
