meas,new_id,piano,orig_id,octave,note
2,7001,B,5918,0,
13,7005,B,5919,0,
15,7006,B,5969,0,
16,7008,B,5971,0,
21,7011,B,5972,0,
30,7018,B,5924,0,
33,7019,B,5925,0,
39,7024,B,5927,0,
39,7025,B,5974,0,
40,7026,B,5975,0,
51,7030,B,5982,0,
53,7032,B,5983,0,
55,7034,B,5929,0,
61,7039,B,5980,0,
62,7041,B,5981,0,
69,7045,B,5977,0,
71,7047,B,5988,0,
79,7052,B,5992,0,
82,7054,B,5987,0,
88,7060,B,5990,0,
88,7061,B,5991,0,
90,7063,B,5991,0,
99,7066,B,5996,0,
108,7069,B,5997,0,
109,7071,B,5996,0,
110,7072,B,5997,0,
116,7075,B,5998,0,
122,7079,B,5998,0,
123,7080,B,5997,1,
124,7081,B,6000,0,
127,7083,B,6001,0,
129,7085,B,6002,0,
131,7086,B,6003,0,
134,7090,B,5941,0,
142,7095,B,5942,0,
143,7097,B,5943,0,
146,7100,B,6008,0,
152,7105,B,6008,0,
154,7107,B,6012,0,
160,7111,B,6012,3,different octaves
161,7114,B,6013,0,
164,7115,B,6005,0,
167,7119,B,6008,1,different octaves
168,7121,B,5950,0,
171,7124,B,5950,0,
171,7125,B,6020,0,this overlaps with the one above -- meaning one beat both are on piano B
180,7130,B,6022,0,
192,7135,B,6024,0,
200,7137,B,6025,0,
204,7141,B,5955,0,
205,7142,B,5955,0,this is not actually a new section but because it changes from Spirio to human I assign a new code
205,7143,B,5970,0,
207,7145,B,5971,0,
220,7150,B,5958,0,
222,7152,B,5999,0,
229,7160,B,5958,0,
231,7161,B,6032,0,
234,7163,B,6033,0,
237,7166,B,6027,0,
240,7169,B,6006,0,
245,7173,B,6038,0,
251,7176,B,6042,0,
252,7178,B,6043,0,
254,7182,B,5960,0,
255,7184,B,5960,0, this is not actually a new section but because it changes from Spirio to human I assign a new code
257,7186,B,6046,0,
258,7187,B,6047,0,
262,7191,B,,0,very short 
263,7192,B,6050,0,
264,7193,B,6051,0,
266,7195,B,5961,0,
274,7199,B,6056,0,
277,7202,B,6057,0,
284,7206,B,5994,0,
286,7209,B,5995,0,
288,7210,B,6014,0,
290,7212,B,6002,0,
291,7214,B,6003,0,
294,7217,B,6004,0,human to Spirio
295,7219,B,6064,0,
296,7222,B,6065,0,
299,7225,B,6018,0,
301,7228,B,6000,0,
305,7231,B,6068,0,
310,7234,B,6069,0,
313,7237,B,6033,0,human to Spirio
317,7238,B,6034,0,
318,7240,B,6072,0,
319,7241,B,6073,0,
325,7246,B,6038,0,
326,7247,B,6038,0,
328,7250,B,5988,0,
332,7258,B,5965,0,assigned to purple
334,7260,B,6076,0,
337,7262,B,6076,0,
338,7265,B,6076,0,
340,7267,B,6077,0,
346,7270,B,6077,0,
348,7274,B,6078,0,
