meas:1 6/4 ticks:4608
  0   1  0.000 v1 s1 t=0    re1_1RM         R   M    -- --- | metro:q:80
  1   1  0.000 v5 s2 t=0    re1_5RM         R   M    -- --- | 
meas:2 5/4 ticks:3840
  0   2  0.000 v1 s1 t=0    re2_1RM         R   M    -- --- | 
  1   2  0.000 v5 s2 t=0    re2_5RM         R   M    -- --- | 
meas:3 5/4 ticks:3840
  0   3  0.000 v1 s1 t=0    re3_1RM         R   M    -- --- | 
  1   3  0.000 v5 s2 t=0    re3_5RM         R   M    -- --- | 
meas:4 6/4 ticks:4608
  0   4  0.000 v1 s1 t=0    re4_1RM         R   M    -- --- | 
  1   4  0.000 v5 s2 t=0    re4_5RM         R   M    -- --- | 
meas:5 6/4 ticks:4608
  0   5  0.000 v1 s1 t=0    re5_1RM         R   M    -- --- | 
  1   5  0.000 v5 s2 t=0    re5_5RM         R   M    -- --- | 
meas:6 6/4 ticks:4608
  0   6  0.000 v1 s1 t=0    re6_1RM         R   M    -- --- | 
  1   6  0.000 v5 s2 t=0    re6_5RM         R   M    -- --- | 
meas:7 6/4 ticks:4608
  0   7  0.000 v1 s1 t=0    n7_1E6w         E6  w.   -- --o | d:mf damp:down section:7002
  1   7  0.000 v5 s2 t=0    n7_5C1s         C1  s    -- --o | 
  2   7  0.167 v5 s2 t=171  n7_5Cs2t_0      C#2 t    -- --o | d:ppp
  3   7  0.250 v5 s2 t=256  n7_5Fs1t_0      F#1 t    -- --o | d:ppp
  4   7  0.333 v5 s2 t=341  n7_5Cs2s_0      C#2 s    -- --o | d:ppp
  5   7  0.500 v5 s2 t=512  n7_5Fs1t_1      F#1 t    -- --o | d:ppp
  6   7  0.583 v5 s2 t=597  n7_5A2t_0       A2  t    -- --o | d:ppp
  7   7  0.666 v5 s2 t=682  n7_5Cs2t_1      C#2 t    -- --o | d:ppp
  8   7  0.749 v5 s2 t=767  n7_5A2t_1       A2  t    -- --o | d:ppp
  9   7  0.832 v5 s2 t=852  n7_5Fs1t_2      F#1 t    -- --o | d:ppp
 10   7  0.915 v5 s2 t=937  n7_5Cs2t_2      C#2 t    -- --o | d:ppp
 11   7  0.998 v5 s2 t=1022 n7_5Fs1t_3      F#1 t    -- --o | d:ppp
 12   7  1.081 v5 s2 t=1107 n7_5Cs2s_1      C#2 s    -- --o | d:ppp
 13   7  1.248 v5 s2 t=1278 n7_5Fs1t_4      F#1 t    -- --o | d:ppp
 14   7  1.331 v5 s2 t=1363 n7_5A2t_2       A2  t    -- --o | d:ppp
 15   7  1.414 v5 s2 t=1448 n7_5Cs2t_3      C#2 t    -- --o | d:ppp
 16   7  1.497 v5 s2 t=1533 n7_5A2t_3       A2  t    -- --o | d:ppp
 17   7  1.580 v5 s2 t=1618 n7_5Fs1t_5      F#1 t    -- --o | d:ppp
 18   7  1.663 v5 s2 t=1703 n7_5Cs2t_4      C#2 t    -- --o | d:ppp
 19   7  1.746 v5 s2 t=1788 n7_5Fs1t_6      F#1 t    -- --o | d:ppp
 20   7  1.829 v5 s2 t=1873 n7_5Cs2s_2      C#2 s    -- --o | d:ppp
 21   7  1.996 v5 s2 t=2044 n7_5Fs1t_7      F#1 t    -- --o | d:ppp
 22   7  2.079 v5 s2 t=2129 n7_5A2t_4       A2  t    -- --o | d:ppp
 23   7  2.162 v5 s2 t=2214 n7_5Cs2t_5      C#2 t    -- --o | d:ppp
 24   7  2.245 v5 s2 t=2299 n7_5A2t_5       A2  t    -- --o | d:ppp
 25   7  2.328 v5 s2 t=2384 n7_5Fs1t_8      F#1 t    -- --o | d:ppp
 26   7  2.411 v5 s2 t=2469 n7_5Cs2t_6      C#2 t    -- --o | d:ppp
 27   7  2.494 v5 s2 t=2554 n7_5Fs1t_9      F#1 t    -- --o | d:ppp
 28   7  2.577 v5 s2 t=2639 n7_5Cs2s_3      C#2 s    -- --o | d:ppp
 29   7  2.744 v5 s2 t=2810 n7_5Fs1t_10     F#1 t    -- --o | d:ppp
 30   7  2.827 v5 s2 t=2895 n7_5A2t_6       A2  t    -- --o | d:ppp
 31   7  2.910 v5 s2 t=2980 n7_5Cs2t_7      C#2 t    -- --o | d:ppp
 32   7  2.993 v5 s2 t=3065 n7_5A2t_7       A2  t    -- --o | d:ppp
 33   7  3.076 v5 s2 t=3150 n7_5Fs1t_11     F#1 t    -- --o | d:ppp
 34   7  3.159 v5 s2 t=3235 n7_5Cs2t_8      C#2 t    -- --o | d:ppp
 35   7  3.242 v5 s2 t=3320 n7_5Fs1t_12     F#1 t    -- --o | d:ppp
 36   7  3.325 v5 s2 t=3405 n7_5Cs2s_4      C#2 s    -- --o | d:ppp
 37   7  3.492 v5 s2 t=3576 n7_5Fs1t_13     F#1 t    -- --o | d:ppp
 38   7  3.575 v5 s2 t=3661 n7_5A2t_8       A2  t    -- --o | d:ppp
 39   7  3.658 v5 s2 t=3746 n7_5Cs2t_9      C#2 t    -- --o | d:ppp
 40   7  3.741 v5 s2 t=3831 n7_5A2t_9       A2  t    -- --o | d:ppp
 41   7  3.824 v5 s2 t=3916 n7_5Fs1t_14     F#1 t    -- --o | d:ppp
 42   7  3.907 v5 s2 t=4001 n7_5Cs2t_10     C#2 t    -- --o | d:ppp
 43   7  3.990 v5 s2 t=4086 n7_5Fs1t_15     F#1 t    -- --o | d:ppp
