meas,new_id,piano,orig_id,octave,note
1,7000,A,5967,0,
2,7001,B,5918,0,
7,7002,C,5968,0,
10,7003,A,5969,0,
13,7004,C,5970,0,
13,7005,B,5919,0,
15,7006,B,5969,0,
15,7007,C,5919,0,
16,7008,B,5971,0,
18,7009,A,5920,0,
20,7010,C,5971,0,
21,7011,B,5972,0,
24,7012,C,5975,0,
25,7013,C,5922,0,
25,7014,A,5974,0,
26,7015,A,5975,0,
29,7016,C,5923,0,
30,7017,A,5976,0,
30,7018,B,5924,0,
33,7019,B,5925,0,
34,7020,C,5978,0,
35,7021,A,5926,0,
36,7022,C,5979,0,
36,7023,A,5927,0,
39,7024,B,5927,0,
39,7025,B,5974,0,
40,7026,B,5975,0,
41,7027,A,5928,0,
45,7028,C,5980,0,
48,7029,C,5981,0,
51,7030,B,5982,0,
52,7031,A,5929,0,
53,7032,B,5983,0,
54,7033,C,5984,0,
55,7034,B,5929,0,
56,7035,A,5930,0,
57,7036,C,5985,0,
58,7037,C,5986,0,
59,7038,A,5986,0,
61,7039,B,5980,0,
61,7040,A,5987,0,
62,7041,B,5981,0,
64,7042,A,5931,0,
66,7043,C,5932,0,
68,7044,C,5976,0,
69,7045,B,5977,0,
70,7046,A,5987,0,
71,7047B,B,5988,0,
71,7047C,C,5933,0,
75,7048,C,5989,0,
76,7049,C,5990,0,
77,7050,C,5991,0,
78,7051,A,5933,0,
79,7052,B,5992,0,
82,7053,C,5934,0,
82,7054,B,5987,0,
82,7055,A,5976,0,
83,7056,A,5977,0,
87,7057,C,5935,0,
87,7058,A,5992,0,
88,7059,A,5993,0,
88,7060,B,5990,0,
88,7061,B,5991,0,
89,7062,C,5994,0,
90,7063A,A,5993,0,
90,7063B,B,5991,0,
91,7064A,A,5936,0,
91,7064C,C,5995,0,
92,7065,A,5937,0,
99,7066,B,5996,0,
104,7067A,A,5993,0,
104,7067C,C,5938,0,
104,7068,A,5993,0,
108,7069,B,5997,0,
108,7070,A,5998,0,
109,7071,B,5996,0,
110,7072B,B,5997,0,
110,7072C,C,5939,0,
111,7073,C,5999,0,
116,7074,A,6000,0,
116,7075,B,5998,0,
116,7076,C,5999,0,
120,7077,C,5939,0,
122,7078,C,5940,0,
122,7079,B,5998,0,
123,7080,B,5997,1,
124,7081,B,6000,0,
125,7082,A,6000,0,
127,7083,B,6001,0,
127,7084,A,6001,0,
129,7085,B,6002,0,
131,7086B,B,6003,0,
