dev,port,microsec,id,sec,ch,status,sci_pitch,d0,d1
  0,  0,       0,  0,  0.0000, 0,0xb0,     , 64, 23
  0,  0,   10113,  1,  0.0101, 0,0xb0,     , 64, 24
  0,  0,   20058,  2,  0.0201, 0,0xb0,     , 64, 25
  0,  0,   30105,  3,  0.0301, 0,0xb0,     , 64, 26
  0,  0,   50029,  4,  0.0500, 0,0xb0,     , 64, 27
  0,  0,   60044,  5,  0.0600, 0,0xb0,     , 64, 28
  0,  0,   70040,  6,  0.0700, 0,0xb0,     , 64, 29
  0,  0,   80079,  7,  0.0801, 0,0xb0,     , 64, 31
  0,  0,   90008,  8,  0.0900, 0,0xb0,     , 64, 33
  0,  0,  120076,  9,  0.1201, 0,0xb0,     , 64, 34
  0,  0,  140090, 10,  0.1401, 0,0xb0,     , 64, 35
  0,  0,  160111, 11,  0.1601, 0,0xb0,     , 64, 36
  0,  0,  170098, 12,  0.1701, 0,0xb0,     , 64, 37
  0,  0,  190092, 13,  0.1901, 0,0xb0,     , 64, 38
  0,  0,  201068, 14,  0.2011, 0,0xb0,     , 64, 39
  0,  0,  210097, 15,  0.2101, 0,0xb0,     , 64, 40
  0,  0,  250357, 16,  0.2504, 0,0xb0,     , 67, 11
  0,  0,  260070, 17,  0.2601, 0,0xb0,     , 67, 12
  0,  0,  270361, 18,  0.2704, 0,0xb0,     , 67, 13
  0,  0,  280053, 19,  0.2801, 0,0xb0,     , 67, 15
  0,  0,  289980, 20,  0.2900, 0,0xb0,     , 67, 16
  0,  0,  300110, 21,  0.3001, 0,0xb0,     , 67, 18
  0,  0,  310055, 22,  0.3101, 0,0xb0,     , 67, 19
  0,  0,  319962, 23,  0.3200, 0,0xb0,     , 67, 20
  0,  0,  339987, 24,  0.3400, 0,0xb0,     , 67, 21
  0,  0,  370031, 25,  0.3700, 0,0xb0,     , 64, 39
  0,  0,  371093, 26,  0.3711, 0,0xb0,     , 67, 23
  0,  0,  380073, 27,  0.3801, 0,0xb0,     , 64, 40
  0,  0,  381011, 28,  0.3810, 0,0xb0,     , 67, 25
  0,  0,  390065, 29,  0.3901, 0,0xb0,     , 67, 27
  0,  0,  400957, 30,  0.4010, 0,0xb0,     , 67, 29
  0,  0,  410093, 31,  0.4101, 0,0xb0,     , 64, 41
  0,  0,  411082, 32,  0.4111, 0,0xb0,     , 67, 31
  0,  0,  420042, 33,  0.4200, 0,0xb0,     , 67, 32
  0,  0,  430067, 34,  0.4301, 0,0xb0,     , 67, 33
  0,  0,  440057, 35,  0.4401, 0,0xb0,     , 67, 35
  0,  0,  450014, 36,  0.4500, 0,0xb0,     , 64, 42
  0,  0,  451101, 37,  0.4511, 0,0xb0,     , 67, 37
  0,  0,  460070, 38,  0.4601, 0,0xb0,     , 67, 39
  0,  0,  470103, 39,  0.4701, 0,0xb0,     , 67, 41
  0,  0,  480071, 40,  0.4801, 0,0xb0,     , 67, 43
  0,  0,  490105, 41,  0.4901, 0,0xb0,     , 67, 45
  0,  0,  500148, 42,  0.5001, 0,0xb0,     , 64, 41
  0,  0,  501100, 43,  0.5011, 0,0xb0,     , 67, 47
  0,  0,  510093, 44,  0.5101, 0,0xb0,     , 67, 49
  0,  0,  520121, 45,  0.5201, 0,0xb0,     , 64, 42
  0,  0,  521104, 46,  0.5211, 0,0xb0,     , 67, 53
  0,  0,  530059, 47,  0.5301, 0,0xb0,     , 64, 43
  0,  0,  531107, 48,  0.5311, 0,0xb0,     , 67, 56
  0,  0,  540068, 49,  0.5401, 0,0xb0,     , 64, 42
  0,  0,  541094, 50,  0.5411, 0,0xb0,     , 67, 58
  0,  0,  550013, 51,  0.5500, 0,0xb0,     , 64, 43
  0,  0,  551065, 52,  0.5511, 0,0xb0,     , 67, 61
  0,  0,  560078, 53,  0.5601, 0,0xb0,     , 67, 65
  0,  0,  570047, 54,  0.5700, 0,0xb0,     , 67, 68
  0,  0,  580115, 55,  0.5801, 0,0xb0,     , 67, 71
  0,  0,  590075, 56,  0.5901, 0,0xb0,     , 67, 75
