dev,port,microsec,id,sec,ch,status,sci_pitch,d0,d1
  0,  0,       0,  0,  0.0000, 0,0xb0,     , 67, 31
  0,  0,   19992,  1,  0.0200, 0,0xb0,     , 67, 32
  0,  0,   50066,  2,  0.0501, 0,0xb0,     , 67, 34
  0,  0,   60256,  3,  0.0603, 0,0xb0,     , 67, 36
  0,  0,   70023,  4,  0.0700, 0,0xb0,     , 67, 38
  0,  0,   80021,  5,  0.0800, 0,0xb0,     , 67, 40
  0,  0,   90008,  6,  0.0900, 0,0xb0,     , 67, 41
  0,  0,  100069,  7,  0.1001, 0,0xb0,     , 67, 43
  0,  0,  110022,  8,  0.1100, 0,0xb0,     , 67, 46
  0,  0,  120068,  9,  0.1201, 0,0xb0,     , 67, 48
  0,  0,  130022, 10,  0.1300, 0,0xb0,     , 67, 52
  0,  0,  140066, 11,  0.1401, 0,0xb0,     , 67, 56
  0,  0,  150069, 12,  0.1501, 0,0xb0,     , 67, 60
  0,  0,  160064, 13,  0.1601, 0,0xb0,     , 67, 65
  0,  0,  170043, 14,  0.1700, 0,0xb0,     , 67, 71
  0,  0,  180017, 15,  0.1800, 0,0xb0,     , 67, 75
  0,  0,  190023, 16,  0.1900, 0,0xb0,     , 67, 80
  0,  0,  200875, 17,  0.2009, 0,0xb0,     , 67, 82
  0,  0,  210071, 18,  0.2101, 0,0xb0,     , 67, 84
  0,  0,  219996, 19,  0.2200, 0,0xb0,     , 67, 85
  0,  0,  269994, 20,  0.2700, 0,0xb0,     , 67, 84
  0,  0,  289986, 21,  0.2900, 0,0xb0,     , 64, 13
  0,  0,  290980, 22,  0.2910, 0,0xb0,     , 67, 85
  0,  0,  299963, 23,  0.3000, 0,0xb0,     , 64, 14
  0,  0,  309995, 24,  0.3100, 0,0xb0,     , 64, 17
  0,  0,  319903, 25,  0.3199, 0,0xb0,     , 64, 20
  0,  0,  330064, 26,  0.3301, 0,0xb0,     , 64, 22
  0,  0,  340072, 27,  0.3401, 0,0xb0,     , 64, 23
  0,  0,  360131, 28,  0.3601, 0,0xb0,     , 64, 21
  0,  0,  370245, 29,  0.3702, 0,0xb0,     , 64, 20
  0,  0,  380252, 30,  0.3803, 0,0xb0,     , 64, 19
  0,  0,  400053, 31,  0.4001, 0,0xb0,     , 64, 18
  0,  0,  401017, 32,  0.4010, 0,0xb0,     , 67, 84
  0,  0,  410031, 33,  0.4100, 0,0xb0,     , 64, 17
  0,  0,  420046, 34,  0.4200, 0,0xb0,     , 64, 16
  0,  0,  430032, 35,  0.4300, 0,0xb0,     , 64, 13
  0,  0,  431003, 36,  0.4310, 0,0xb0,     , 67, 83
  0,  0,  440001, 37,  0.4400, 0,0xb0,     , 64, 11
  0,  0,  440995, 38,  0.4410, 0,0xb0,     , 67, 82
  0,  0,  450012, 39,  0.4500, 0,0xb0,     , 64,  9
  0,  0,  450991, 40,  0.4510, 0,0xb0,     , 67, 80
  0,  0,  459987, 41,  0.4600, 0,0xb0,     , 64,  7
  0,  0,  460921, 42,  0.4609, 0,0xb0,     , 67, 78
  0,  0,  470002, 43,  0.4700, 0,0xb0,     , 64,  6
  0,  0,  470959, 44,  0.4710, 0,0xb0,     , 67, 76
  0,  0,  480004, 45,  0.4800, 0,0xb0,     , 67, 74
  0,  0,  500013, 46,  0.5000, 0,0xb0,     , 67, 72
  0,  0,  509993, 47,  0.5100, 0,0xb0,     , 67, 70
  0,  0,  519998, 48,  0.5200, 0,0xb0,     , 67, 66
  0,  0,  530497, 49,  0.5305, 0,0xb0,     , 67, 60
  0,  0,  540014, 50,  0.5400, 0,0xb0,     , 67, 53
  0,  0,  549983, 51,  0.5500, 0,0xb0,     , 67, 46
  0,  0,  560991, 52,  0.5610, 0,0xb0,     , 67, 37
  0,  0,  569980, 53,  0.5700, 0,0xb0,     , 67, 31
  0,  0,  579987, 54,  0.5800, 0,0xb0,     , 67, 26
  0,  0,  589987, 55,  0.5900, 0,0xb0,     , 67, 23
  0,  0,  599994, 56,  0.6000, 0,0xb0,     , 67, 21
  0,  0,  630081, 57,  0.6301, 0,0xb0,     , 67, 20
  0,  0,  660071, 58,  0.6601, 0,0xb0,     , 67, 19
  0,  0,  680100, 59,  0.6801, 0,0xb0,     , 67, 18
  0,  0,  690002, 60,  0.6900, 0,0xb0,     , 64,  8
