UID,trk,dtick,atick,amicro,type,ch,D0,D1,sci_pitch
    0,  0,         0,         0,         0,tempo,120,bpm,,    
    1,  0,         0,         0,         0, ctl,  0, 67, 10,    
    2,  0,        19,        19,     49479, ctl,  0, 67,  9,    
    3,  0,         4,        23,     59895, ctl,  0, 67, 10,    
    4,  0,         3,        26,     67707, ctl,  0, 67,  9,    
    5,  0,        31,        57,    148436, ctl,  0, 67, 10,    
    6,  0,         4,        61,    158852, ctl,  0, 67,  9,    
    7,  0,         4,        65,    169268, ctl,  0, 67, 10,    
    8,  0,         4,        69,    179684, ctl,  0, 67,  9,    
    9,  0,        11,        80,    208329, ctl,  0, 67, 10,    
   10,  0,        16,        96,    249995, ctl,  0, 67,  9,    
   11,  0,         3,        99,    257807, ctl,  0, 67, 10,    
   12,  0,         4,       103,    268223, ctl,  0, 67,  9,    
   13,  0,         4,       107,    278639, ctl,  0, 67, 10,    
   14,  0,         4,       111,    289055, ctl,  0, 67,  9,    
   15,  0,         4,       115,    299471, ctl,  0, 67, 10,    
   16,  0,         4,       119,    309887, ctl,  0, 67,  9,    
   17,  0,         7,       126,    328116, ctl,  0, 67, 10,    
   18,  0,        27,       153,    398428, ctl,  0, 67,  9,    
   19,  0,         4,       157,    408844, ctl,  0, 67, 10,    
   20,  0,         4,       161,    419260, ctl,  0, 67,  9,    
   21,  0,         4,       165,    429676, ctl,  0, 67, 10,    
   22,  0,        11,       176,    458321, ctl,  0, 67,  9,    
   23,  0,         4,       180,    468737, ctl,  0, 67, 10,    
   24,  0,         8,       188,    489570, ctl,  0, 67,  9,    
   25,  0,         4,       192,    499986, ctl,  0, 67, 10,    
   26,  0,         7,       199,    518215, ctl,  0, 67,  9,    
   27,  0,        19,       218,    567694, ctl,  0, 67, 10,    
   28,  0,        20,       238,    619777, ctl,  0, 67,  9,    
   29,  0,        11,       249,    648422, ctl,  0, 64, 33,    
   30,  0,         8,       257,    669255, ctl,  0, 64, 32,    
   31,  0,        11,       268,    697900, ctl,  0, 67, 10,    
   32,  0,        16,       284,    739566, ctl,  0, 67,  9,    
   33,  0,        34,       318,    828107, ctl,  0, 67, 10,    
   34,  0,        31,       349,    908836, ctl,  0, 64, 31,    
   35,  0,         4,       353,    919252, ctl,  0, 64, 30,    
   36,  0,         4,       357,    929668, ctl,  0, 64, 28,    
   37,  0,         3,       360,    937480, ctl,  0, 64, 27,    
   38,  0,         4,       364,    947896, ctl,  0, 64, 26,    
   39,  0,         4,       368,    958312, ctl,  0, 67,  9,    
   40,  0,         4,       372,    968728, ctl,  0, 67, 10,    
   41,  0,        19,       391,   1018207, ctl,  0, 64, 25,    
   42,  0,         4,       395,   1028623, ctl,  0, 64, 24,    
   43,  0,         4,       399,   1039039, ctl,  0, 64, 23,    
   44,  0,         4,       403,   1049455, ctl,  0, 64, 22,    
   45,  0,         4,       407,   1059871, ctl,  0, 64, 20,    
   46,  0,         3,       410,   1067683, ctl,  0, 64, 19,    
   47,  0,         4,       414,   1078099, ctl,  0, 64, 18,    
   48,  0,         8,       422,   1098932, ctl,  0, 64, 17,    
   49,  0,         0,       422,   1098932, ctl,  0, 67,  9,    
   50,  0,         4,       426,   1109348, ctl,  0, 64, 16,    
   51,  0,         1,       427,   1111952, non,  0, 60, 10,  C4
   52,  0,         3,       430,   1119764, ctl,  0, 64, 14,    
   53,  0,         7,       437,   1137993, ctl,  0, 64, 13,    
   54,  0,         2,       439,   1143201, non,  0, 47,  9,  B2
   55,  0,         2,       441,   1148409, ctl,  0, 64, 12,    
   56,  0,         8,       449,   1169242, ctl,  0, 64, 11,    
   57,  0,         1,       450,   1171846, non,  0, 29,  6,  F1
   58,  0,         3,       453,   1179658, ctl,  0, 64, 10,    
   59,  0,         0,       453,   1179658, ctl,  0, 67, 10,    
   60,  0,         3,       456,   1187470, ctl,  0, 64,  9,    
   61,  0,         1,       457,   1190074, non,  0, 26,  7,  D1
   62,  0,         3,       460,   1197886, ctl,  0, 64,  7,    
   63,  0,         4,       464,   1208302, ctl,  0, 64,  6,    
   64,  0,        12,       476,   1239552, ctl,  0, 67,  9,    
   65,  0,        23,       499,   1299447, ctl,  0, 67, 10,    
   66,  0,        11,       510,   1328092, ctl,  0, 67,  9,    
   67,  0,        16,       526,   1369758, ctl,  0, 64,  7,    
   68,  0,         3,       529,   1377570, ctl,  0, 64,  9,    
   69,  0,         4,       533,   1387986, ctl,  0, 64, 13,    
   70,  0,         4,       537,   1398402, ctl,  0, 64, 20,    
   71,  0,         4,       541,   1408818, ctl,  0, 66,127,    
   72,  0,         0,       541,   1408818, ctl,  0, 64, 27,    
   73,  0,         0,       541,   1408818, ctl,  0, 67, 10,    
   74,  0,         4,       545,   1419234, ctl,  0, 64, 35,    
   75,  0,         4,       549,   1429650, ctl,  0, 64, 44,    
   76,  0,         0,       549,   1429650, ctl,  0, 67,  9,    
   77,  0,         4,       553,   1440066, ctl,  0, 64, 51,    
   78,  0,         3,       556,   1447878, ctl,  0, 64, 58,    
   79,  0,         1,       557,   1450482, ctl,  0, 67, 10,    
   80,  0,         3,       560,   1458294, ctl,  0, 64, 65,    
   81,  0,         4,       564,   1468710, ctl,  0, 64, 71,    
   82,  0,         0,       564,   1468710, ctl,  0, 67,  9,    
   83,  0,         4,       568,   1479126, ctl,  0, 64, 78,    
   84,  0,         0,       568,   1479126, ctl,  0, 67, 10,    
   85,  0,         4,       572,   1489542, ctl,  0, 64, 83,    
   86,  0,         0,       572,   1489542, ctl,  0, 67,  9,    
   87,  0,         4,       576,   1499958, ctl,  0, 64, 89,    
   88,  0,         0,       576,   1499958, nof,  0, 26,  0,    
   89,  0,         3,       579,   1507770, ctl,  0, 64, 93,    
   90,  0,         4,       583,   1518186, ctl,  0, 64, 96,    
   91,  0,         1,       584,   1520790, ctl,  0, 67, 10,    
   92,  0,         3,       587,   1528602, ctl,  0, 64, 99,    
   93,  0,         0,       587,   1528602, ctl,  0, 67,  9,    
   94,  0,         3,       590,   1536414, nof,  0, 29,  0,    
   95,  0,         1,       591,   1539018, ctl,  0, 64,100,    
   96,  0,         4,       595,   1549434, ctl,  0, 64,101,    
   97,  0,         7,       602,   1567663, ctl,  0, 64,102,    
   98,  0,        12,       614,   1598913, ctl,  0, 64,103,    
   99,  0,         4,       618,   1609329, ctl,  0, 64,102,    
  100,  0,         4,       622,   1619745, ctl,  0, 64,101,    
  101,  0,         7,       629,   1637974, ctl,  0, 64, 99,    
  102,  0,         4,       633,   1648390, ctl,  0, 64, 97,    
  103,  0,         4,       637,   1658806, ctl,  0, 64, 95,    
  104,  0,         3,       640,   1666618, non,  0, 41, 22,  F2
  105,  0,         1,       641,   1669222, ctl,  0, 64, 92,    
  106,  0,         0,       641,   1669222, ctl,  0, 67, 10,    
  107,  0,         4,       645,   1679638, ctl,  0, 64, 87,    
  108,  0,         4,       649,   1690054, ctl,  0, 64, 81,    
  109,  0,         0,       649,   1690054, ctl,  0, 67,  9,    
  110,  0,         3,       652,   1697866, ctl,  0, 64, 73,    
  111,  0,         4,       656,   1708282, ctl,  0, 64, 64,    
  112,  0,         4,       660,   1718698, ctl,  0, 64, 52,    
  113,  0,         4,       664,   1729114, ctl,  0, 64, 38,    
  114,  0,         4,       668,   1739530, ctl,  0, 64, 26,    
  115,  0,         4,       672,   1749946, ctl,  0, 64, 16,    
  116,  0,         3,       675,   1757758, ctl,  0, 64,  9,    
  117,  0,         4,       679,   1768174, ctl,  0, 64,  6,    
  118,  0,        16,       695,   1809840, ctl,  0, 64,  5,    
  119,  0,         3,       698,   1817652, ctl,  0, 67,  8,    
  120,  0,         7,       705,   1835881, ctl,  0, 66,  0,    
  121,  0,         4,       709,   1846297, nof,  0, 47,  0,    
  122,  0,         1,       710,   1848901, ctl,  0, 67,  7,    
  123,  0,        11,       721,   1877546, ctl,  0, 67,  6,    
  124,  0,         4,       725,   1887962, nof,  0, 60,  0,    
  125,  0,         0,       725,   1887962, ctl,  0, 64,  6,    
  126,  0,         1,       726,   1890566, ctl,  0, 67,  7,    
  127,  0,         3,       729,   1898378, ctl,  0, 67,  6,    
  128,  0,         4,       733,   1908794, ctl,  0, 67,  7,    
  129,  0,         4,       737,   1919210, ctl,  0, 67,  6,    
  130,  0,         3,       740,   1927022, non,  0, 37, 14, C#2
  131,  0,         8,       748,   1947855, ctl,  0, 64,  5,    
  132,  0,         7,       755,   1966084, ctl,  0, 66,127,    
  133,  0,         1,       756,   1968688, ctl,  0, 67,  7,    
  134,  0,        12,       768,   1999938, ctl,  0, 64,  6,    
  135,  0,         7,       775,   2018167, ctl,  0, 67,  8,    
  136,  0,         4,       779,   2028583, ctl,  0, 67,  7,    
  137,  0,         4,       783,   2038999, ctl,  0, 64,  5,    
  138,  0,         0,       783,   2038999, ctl,  0, 67,  8,    
  139,  0,         4,       787,   2049415, ctl,  0, 67,  7,    
  140,  0,         2,       789,   2054623, nof,  0, 37,  0,    
  141,  0,         2,       791,   2059831, ctl,  0, 67,  8,    
  142,  0,        11,       802,   2088476, ctl,  0, 64,  6,    
  143,  0,         0,       802,   2088476, non,  0, 38,  1,  D2
  144,  0,        19,       821,   2137955, ctl,  0, 64,  5,    
  145,  0,        12,       833,   2169205, ctl,  0, 67,  7,    
  146,  0,         8,       841,   2190038, ctl,  0, 64,  6,    
  147,  0,         0,       841,   2190038, ctl,  0, 67,  8,    
  148,  0,         3,       844,   2197850, ctl,  0, 67,  7,    
  149,  0,         3,       847,   2205662, non,  0, 37, 19, C#2
  150,  0,         1,       848,   2208266, ctl,  0, 64,  7,    
  151,  0,         1,       849,   2210870, ctl,  0, 67,  8,    
  152,  0,         3,       852,   2218682, ctl,  0, 64,  8,    
  153,  0,         0,       852,   2218682, ctl,  0, 67,  9,    
  154,  0,         3,       855,   2226494, nof,  0, 38,  0,    
  155,  0,         1,       856,   2229098, ctl,  0, 64, 10,    
  156,  0,         4,       860,   2239514, ctl,  0, 64, 11,    
  157,  0,         4,       864,   2249930, ctl,  0, 64, 14,    
  158,  0,         0,       864,   2249930, ctl,  0, 67, 10,    
  159,  0,         3,       867,   2257742, ctl,  0, 64, 15,    
  160,  0,         1,       868,   2260346, ctl,  0, 67,  9,    
  161,  0,         3,       871,   2268158, ctl,  0, 64, 17,    
  162,  0,         4,       875,   2278574, ctl,  0, 64, 19,    
  163,  0,         4,       879,   2288990, ctl,  0, 64, 22,    
  164,  0,         4,       883,   2299406, ctl,  0, 64, 23,    
  165,  0,         4,       887,   2309822, ctl,  0, 64, 26,    
  166,  0,         3,       890,   2317634, ctl,  0, 64, 28,    
  167,  0,         2,       892,   2322842, nof,  0, 37,  0,    
  168,  0,         2,       894,   2328050, ctl,  0, 64, 29,    
  169,  0,         4,       898,   2338466, ctl,  0, 64, 31,    
  170,  0,         4,       902,   2348882, ctl,  0, 64, 32,    
  171,  0,         4,       906,   2359298, ctl,  0, 64, 33,    
  172,  0,         1,       907,   2361902, non,  0, 38,  8,  D2
  173,  0,         0,       907,   2361902, nof,  0, 41,  0,    
  174,  0,         3,       910,   2369714, ctl,  0, 64, 35,    
  175,  0,         0,       910,   2369714, ctl,  0, 67, 10,    
  176,  0,         3,       913,   2377526, ctl,  0, 64, 36,    
  177,  0,         4,       917,   2387942, ctl,  0, 64, 38,    
  178,  0,         4,       921,   2398358, ctl,  0, 64, 40,    
  179,  0,         1,       922,   2400962, ctl,  0, 67,  9,    
  180,  0,         3,       925,   2408774, ctl,  0, 64, 41,    
  181,  0,         0,       925,   2408774, ctl,  0, 67,  8,    
  182,  0,         4,       929,   2419190, ctl,  0, 64, 42,    
  183,  0,         4,       933,   2429606, ctl,  0, 64, 44,    
  184,  0,         4,       937,   2440022, ctl,  0, 64, 45,    
  185,  0,         3,       940,   2447834, ctl,  0, 64, 46,    
  186,  0,         4,       944,   2458250, ctl,  0, 64, 48,    
  187,  0,         1,       945,   2460854, ctl,  0, 67,  9,    
  188,  0,         3,       948,   2468666, ctl,  0, 64, 50,    
  189,  0,         4,       952,   2479082, ctl,  0, 64, 53,    
  190,  0,         1,       953,   2481686, nof,  0, 38,  0,    
  191,  0,         3,       956,   2489498, ctl,  0, 64, 56,    
  192,  0,         4,       960,   2499914, ctl,  0, 64, 59,    
  193,  0,         3,       963,   2507726, ctl,  0, 64, 63,    
  194,  0,         1,       964,   2510330, non,  0, 41, 33,  F2
  195,  0,         3,       967,   2518142, ctl,  0, 64, 67,    
  196,  0,         4,       971,   2528558, ctl,  0, 64, 69,    
  197,  0,         4,       975,   2538974, ctl,  0, 64, 71,    
  198,  0,         4,       979,   2549390, ctl,  0, 64, 72,    
  199,  0,         7,       986,   2567619, ctl,  0, 64, 73,    
  200,  0,        20,      1006,   2619702, ctl,  0, 67,  8,    
  201,  0,         7,      1013,   2637931, ctl,  0, 64, 72,    
  202,  0,         4,      1017,   2648347, ctl,  0, 64, 73,    
  203,  0,         4,      1021,   2658763, non,  0, 38, 16,  D2
  204,  0,         0,      1021,   2658763, ctl,  0, 64, 72,    
