dev,port,microsec,id,sec,ch,status,sci_pitch,d0,d1
  0,  0,       0,  0,  0.0000, 0,0xb0,     , 64,  3
  0,  0,   11056,  1,  0.0111, 0,0xb0,     , 64,  4
  0,  0,  670044,  2,  0.6700, 0,0xb0,     , 64,  5
  0,  0,  680014,  3,  0.6800, 0,0xb0,     , 64,  4
  0,  0, 1130990,  4,  1.1310, 0,0xb0,     , 64,  5
  0,  0, 1139986,  5,  1.1400, 0,0xb0,     , 64,  4
  0,  0, 1150005,  6,  1.1500, 0,0xb0,     , 67, 19
  0,  0, 1160055,  7,  1.1601, 0,0xb0,     , 67, 20
  0,  0, 1280008,  8,  1.2800, 0,0xb0,     , 64,  5
  0,  0, 1291007,  9,  1.2910, 0,0xb0,     , 64,  4
  0,  0, 1570998, 10,  1.5710, 0,0xb0,     , 64,  5
  0,  0, 1580004, 11,  1.5800, 0,0xb0,     , 64,  4
  0,  0, 1830994, 12,  1.8310, 0,0xb0,     , 64,  5
  0,  0, 1839973, 13,  1.8400, 0,0xb0,     , 64,  4
  0,  0, 2330965, 14,  2.3310, 0,0xb0,     , 64,  5
  0,  0, 2339969, 15,  2.3400, 0,0xb0,     , 64,  4
  0,  0, 2719973, 16,  2.7200, 0,0xb0,     , 64,  5
  0,  0, 2730961, 17,  2.7310, 0,0xb0,     , 64,  4
  0,  0, 3059944, 18,  3.0599, 0,0xb0,     , 64,  5
  0,  0, 3069960, 19,  3.0700, 0,0xb0,     , 64,  4
  0,  0, 3090947, 20,  3.0909, 0,0xb0,     , 64,  5
  0,  0, 3099942, 21,  3.0999, 0,0xb0,     , 64,  4
  0,  0, 3229954, 22,  3.2300, 0,0xb0,     , 64,  5
  0,  0, 3239924, 23,  3.2399, 0,0xb0,     , 64,  4
  0,  0, 3380936, 24,  3.3809, 0,0xb0,     , 64, 11
  0,  0, 3389923, 25,  3.3899, 0,0xb0,     , 64, 13
  0,  0, 3395936, 26,  3.3959, 0,0x90,  F#4, 66, 32
  0,  0, 3399916, 27,  3.3999, 0,0xb0,     , 64, 19
  0,  0, 3410916, 28,  3.4109, 0,0xb0,     , 64, 21
  0,  0, 3420907, 29,  3.4209, 0,0xb0,     , 64, 22
  0,  0, 3429895, 30,  3.4299, 0,0xb0,     , 64, 23
  0,  0, 3439916, 31,  3.4399, 0,0xb0,     , 64, 27
  0,  0, 3489930, 32,  3.4899, 0,0xb0,     , 67, 19
  0,  0, 3499929, 33,  3.4999, 0,0xb0,     , 64, 25
  0,  0, 3500932, 34,  3.5009, 0,0xb0,     , 67, 20
  0,  0, 3506937, 35,  3.5069, 0,0x90,   E1, 28, 25
  0,  0, 3509928, 36,  3.5099, 0,0xb0,     , 64, 26
  0,  0, 3519929, 37,  3.5199, 0,0xb0,     , 64, 24
  0,  0, 3530922, 38,  3.5309, 0,0xb0,     , 64, 23
  0,  0, 3549918, 39,  3.5499, 0,0xb0,     , 64, 20
  0,  0, 3570930, 40,  3.5709, 0,0xb0,     , 64, 19
  0,  0, 3574940, 41,  3.5749, 0,0x80,     , 66,  0
  0,  0, 3579926, 42,  3.5799, 0,0xb0,     , 64, 15
  0,  0, 3589927, 43,  3.5899, 0,0xb0,     , 64, 12
  0,  0, 3619901, 44,  3.6199, 0,0xb0,     , 64,  8
  0,  0, 3629925, 45,  3.6299, 0,0xb0,     , 64,  5
  0,  0, 3639913, 46,  3.6399, 0,0xb0,     , 64,  4
  0,  0, 3659915, 47,  3.6599, 0,0xb0,     , 64,  5
  0,  0, 3669909, 48,  3.6699, 0,0xb0,     , 64,  4
  0,  0, 3670929, 49,  3.6709, 0,0xb0,     , 67, 19
  0,  0, 3679907, 50,  3.6799, 0,0xb0,     , 67, 20
  0,  0, 3709908, 51,  3.7099, 0,0xb0,     , 64,  5
  0,  0, 3719898, 52,  3.7199, 0,0xb0,     , 64,  4
  0,  0, 3749936, 53,  3.7499, 0,0xb0,     , 64,  9
  0,  0, 3759910, 54,  3.7599, 0,0xb0,     , 64, 12
  0,  0, 3770921, 55,  3.7709, 0,0xb0,     , 64, 19
  0,  0, 3779902, 56,  3.7799, 0,0xb0,     , 64, 21
  0,  0, 3789900, 57,  3.7899, 0,0xb0,     , 64, 26
  0,  0, 3799917, 58,  3.7999, 0,0xb0,     , 64, 27
  0,  0, 3810903, 59,  3.8109, 0,0xb0,     , 64, 30
  0,  0, 3819904, 60,  3.8199, 0,0xb0,     , 64, 31
  0,  0, 3829920, 61,  3.8299, 0,0xb0,     , 64, 34
  0,  0, 3839918, 62,  3.8399, 0,0xb0,     , 64, 35
  0,  0, 3850922, 63,  3.8509, 0,0xb0,     , 64, 39
  0,  0, 3859899, 64,  3.8599, 0,0xb0,     , 64, 42
  0,  0, 3869920, 65,  3.8699, 0,0xb0,     , 64, 44
  0,  0, 3870923, 66,  3.8709, 0,0xb0,     , 67, 19
  0,  0, 3879900, 67,  3.8799, 0,0xb0,     , 64, 49
  0,  0, 3880902, 68,  3.8809, 0,0xb0,     , 67, 20
  0,  0, 3890902, 69,  3.8909, 0,0xb0,     , 64, 54
  0,  0, 3899912, 70,  3.8999, 0,0xb0,     , 64, 59
  0,  0, 3909898, 71,  3.9099, 0,0xb0,     , 64, 64
  0,  0, 3919887, 72,  3.9199, 0,0xb0,     , 64, 70
  0,  0, 3930900, 73,  3.9309, 0,0xb0,     , 64, 75
  0,  0, 3939915, 74,  3.9399, 0,0xb0,     , 64, 81
  0,  0, 3949917, 75,  3.9499, 0,0xb0,     , 64, 86
  0,  0, 3959917, 76,  3.9599, 0,0xb0,     , 64, 88
  0,  0, 3971913, 77,  3.9719, 0,0xb0,     , 64, 92
  0,  0, 3979917, 78,  3.9799, 0,0xb0,     , 64, 95
  0,  0, 3989912, 79,  3.9899, 0,0xb0,     , 64, 98
  0,  0, 3999911, 80,  3.9999, 0,0xb0,     , 64, 99
  0,  0, 4039922, 81,  4.0399, 0,0xb0,     , 64,101
  0,  0, 4040918, 82,  4.0409, 0,0xb0,     , 67, 19
  0,  0, 4048855, 83,  4.0489, 0,0x90,  C#5, 73, 38
  0,  0, 4050914, 84,  4.0509, 0,0xb0,     , 67, 20
  0,  0, 4059900, 85,  4.0599, 0,0xb0,     , 64,100
  0,  0, 4070916, 86,  4.0709, 0,0xb0,     , 64,101
  0,  0, 4079901, 87,  4.0799, 0,0xb0,     , 64,102
  0,  0, 4090918, 88,  4.0909, 0,0xb0,     , 64,103
  0,  0, 4099914, 89,  4.0999, 0,0xb0,     , 64,101
  0,  0, 4109922, 90,  4.1099, 0,0xb0,     , 64,102
  0,  0, 4119919, 91,  4.1199, 0,0xb0,     , 64,101
  0,  0, 4132896, 92,  4.1329, 0,0xb0,     , 64,102
  0,  0, 4137892, 93,  4.1379, 0,0x90,   A1, 33, 45
  0,  0, 4139892, 94,  4.1399, 0,0xb0,     , 64,101
  0,  0, 4149917, 95,  4.1499, 0,0xb0,     , 64,102
  0,  0, 4179933, 96,  4.1799, 0,0xb0,     , 64,103
  0,  0, 4189909, 97,  4.1899, 0,0xb0,     , 64,102
  0,  0, 4199914, 98,  4.1999, 0,0xb0,     , 64,103
  0,  0, 4210896, 99,  4.2109, 0,0xb0,     , 64,102
  0,  0, 4211903,100,  4.2119, 0,0x80,     , 33,  0
  0,  0, 4233886,101,  4.2339, 0,0x80,     , 73,  0
  0,  0, 4250914,102,  4.2509, 0,0xb0,     , 64,101
  0,  0, 4259911,103,  4.2599, 0,0xb0,     , 64,102
  0,  0, 4260904,104,  4.2609, 0,0x90,  C#4, 61, 45
  0,  0, 4279885,105,  4.2799, 0,0xb0,     , 64,101
  0,  0, 4280902,106,  4.2809, 0,0xb0,     , 67, 19
