  Score Score Score MIDI  MIDI MIDI
  Bar   UUID  Pitch UUID  Ptch Vel.
- ----- ----- ----- ----- ---- ----
m   302  6584   F#4     7  F#4  29
m   302  6585    E1    11   E1  25
m   302  6586   C#5    36  C#5  67
m   302  6587    A1    43   A1  55
m   302  6588   C#4    55  C#4  62
m   302  6589    A1    70   A1  52
m   302  6590   C#4    78  C#4  57
m   302  6593   C#4   106  C#4  41
m   302  6591    A1   108   A1  16
m   302  6592   F#2   111  F#2  20
m   302  6596   C#4   176  C#4 102
m   302  6594    A1   177   A1  88
m   302  6595   F#2   178  F#2  89
m     0    -1         183  F#1  15
m   302  6597   D#5   209  D#5  30
m   302  6598    B4   214   B4  52
m   302  6599   C#4   215  C#4   9
m   302  6601    A1   220   A1  39
m   302  6602   F#2   236  F#2  12
m   302  6603   C#4   250  C#4  39
m   302  6605    A1   263   A1  35
m   302  6607   F#2   272  F#2  20
m   302  6608   C#4   285  C#4  39
m   302  6610   F#2   291  F#2  28
m   302  6611   C#4   297  C#4  44
m   302  6612   F#2   304  F#2  32
m   302  6613    A1   307   A1  44
m   302  6615   F#2   321  F#2  41
m   303  6617   C#4   323  C#4  46
m   303  6619   F#2   330  F#2  34
m   303  6618    A1   338   A1  37
m   303  6620   C#4   360  C#4  42
m   303  6621   F#2   369  F#2  39
m   303  6623   C#4   376  C#4  53
m     0    -1         380   B4   1
m   303  6622    A1   385   A1  48
m   303  6624   F#2   394  F#2  24
m   303  6625   C#4   400  C#4  48
m   303  6627   F#2   406  F#2  55
m   303  6626    A1   410   A1  49
m   303  6628   C#4   416  C#4  49
m   303  6629   F#2   423  F#2  43
m   303  6631   C#4   428  C#4  54
m   303  6630    A1   434   A1  54
m   303  6632   F#2   440  F#2  47
m   303  6633   C#4   441  C#4  58
m   303  6635   F#2   449  F#2  56
m   303  6636    A1   455   A1  48
m     0    -1         470  C#4  55
m   303  6635   F#2   475  F#2  45
m     0    -1         479  C#4  60
m   303  6636    A1   483   A1  55
m   303  6635   F#2   489  F#2  55
m   303  6636    A1   493   A1  61
m   303  6635   F#2   497  F#2  62
m   303  6637   D#5   508  D#5  59
m   303  6638    B4   522   B4  67
m   303  6641   D#5   535  D#5  62
m   303  6640    B3   538   B3  44
m   303  6643    B4   553   B4  49
m   303  6642    G3   561   G3  35
m   303  6644   D#5   582  D#5  45
m   303  6645    B4   589   B4  45
m   303  6647    G3   599   G3  31
m     0    -1         610  G#5  74
m   303  6648   D#5   617  D#5  69
m   303  6649    G3   633   G3  35
m   303  6651   G#5   635  G#5  72
m   303  6650    B4   636   B4  51
m   303  6653   D#5   654  D#5  62
m   303  6654    B4   655   B4  32
m   303  6652    G3   665   G3  56
