meas,index,voice,loc,tick,sec,dur,rval,dots,sci_pitch,dmark,dlevel,status,d0,d1,bar,section,bpm,grace,damp_down_fl,soft_down_fl,sost_down_fl,even,dyn,tempo,cost,has_stats_fl,even_min,even_max,even_mean,even_std,dyn_min,dyn_max,dyn_mean,dyn_std,tempo_min,tempo_max,tempo_mean,tempo_std,cost_min,cost_max,cost_mean,cost_std
,1,,,0,0.000000,,,,,,,176,67,16,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,2,,,0,0.002604,,,,,,,176,67,17,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,3,,,0,0.015624,,,,,,,176,67,16,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,4,,,0,0.036456,,,,,,,176,67,15,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,5,,,0,0.083328,,,,,,,176,67,14,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,6,,,0,0.093744,,,,,,,176,67,15,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,7,,,0,0.132804,,,,,,,176,67,14,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,8,,,0,0.143220,,,,,,,176,67,15,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,9,,,0,0.283836,,,,,,,176,67,14,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,10,,,0,0.294252,,,,,,,176,67,15,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,11,,,0,0.333312,,,,,,,176,67,14,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,12,,,0,0.343728,,,,,,,176,67,15,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,13,,,0,0.473928,,,,,,,176,67,16,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,14,,,0,0.484344,,,,,,,176,67,15,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,15,,,0,0.562464,,,,,,,176,67,14,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,16,,,0,0.572880,,,,,,,176,67,15,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,17,,,0,0.632772,,,,,,,176,67,14,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,18,,,0,0.643188,,,,,,,176,67,15,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,19,,,0,0.713496,,,,,,,176,67,16,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,20,,,0,0.726516,,,,,,,176,67,15,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,21,,,0,0.874944,,,,,,,176,67,14,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,22,,,0,0.885360,,,,,,,176,67,15,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
