UID,trk,dtick,atick,amicro,type,ch,D0,D1,sci_pitch
    0,  0,         0,         0,         0,tempo,120,bpm,,    
    1,  0,         0,         0,         0, ctl,  0, 67, 14,    
    2,  0,         1,         1,      2604, ctl,  0, 67, 15,    
    3,  0,        27,        28,     72912, ctl,  0, 67, 16,    
    4,  0,         4,        32,     83328, ctl,  0, 67, 15,    
    5,  0,        19,        51,    132804, ctl,  0, 67, 14,    
    6,  0,         4,        55,    143220, ctl,  0, 67, 16,    
    7,  0,         4,        59,    153636, ctl,  0, 67, 15,    
    8,  0,        19,        78,    203112, ctl,  0, 67, 16,    
    9,  0,         4,        82,    213528, ctl,  0, 67, 15,    
   10,  0,        38,       120,    312480, ctl,  0, 67, 14,    
   11,  0,        12,       132,    343728, ctl,  0, 67, 13,    
   12,  0,         4,       136,    354144, ctl,  0, 67, 14,    
   13,  0,         4,       140,    364560, ctl,  0, 67, 13,    
   14,  0,         3,       143,    372372, ctl,  0, 67, 14,    
   15,  0,         4,       147,    382788, ctl,  0, 67, 13,    
   16,  0,         4,       151,    393204, ctl,  0, 67, 15,    
   17,  0,         4,       155,    403620, ctl,  0, 67, 14,    
   18,  0,         4,       159,    414036, ctl,  0, 67, 15,    
   19,  0,         3,       162,    421848, ctl,  0, 67, 14,    
   20,  0,         4,       166,    432264, ctl,  0, 67, 15,    
   21,  0,        81,       247,    643188, ctl,  0, 67, 14,    
   22,  0,         4,       251,    653604, ctl,  0, 67, 15,    
   23,  0,         3,       254,    661416, ctl,  0, 67, 14,    
   24,  0,         4,       258,    671832, ctl,  0, 67, 15,    
   25,  0,        23,       281,    731724, ctl,  0, 67, 16,    
   26,  0,         4,       285,    742140, ctl,  0, 67, 15,    
   27,  0,         4,       289,    752556, ctl,  0, 67, 16,    
   28,  0,         4,       293,    762972, ctl,  0, 67, 15,    
   29,  0,        15,       308,    802032, ctl,  0, 67, 14,    
   30,  0,         4,       312,    812448, ctl,  0, 67, 15,    
   31,  0,         4,       316,    822864, ctl,  0, 67, 16,    
   32,  0,         4,       320,    833280, ctl,  0, 67, 15,    
   33,  0,         7,       327,    851508, ctl,  0, 67, 14,    
   34,  0,         4,       331,    861924, ctl,  0, 67, 15,    
   35,  0,        16,       347,    903588, ctl,  0, 67, 14,    
   36,  0,         3,       350,    911400, ctl,  0, 67, 16,    
   37,  0,         4,       354,    921816, ctl,  0, 67, 15,    
   38,  0,        12,       366,    953064, ctl,  0, 67, 14,    
   39,  0,         4,       370,    963480, ctl,  0, 67, 15,    
   40,  0,        11,       381,    992124, ctl,  0, 67, 16,    
   41,  0,        15,       396,   1031184, ctl,  0, 67, 15,    
   42,  0,        28,       424,   1104096, ctl,  0, 67, 14,    
   43,  0,         3,       427,   1111908, ctl,  0, 67, 15,    
   44,  0,         4,       431,   1122324, ctl,  0, 67, 14,    
   45,  0,         4,       435,   1132740, ctl,  0, 67, 15,    
   46,  0,        27,       462,   1203048, ctl,  0, 67, 14,    
   47,  0,         7,       469,   1221276, ctl,  0, 67, 15,    
   48,  0,        54,       523,   1361892, ctl,  0, 67, 16,    
   49,  0,         4,       527,   1372308, ctl,  0, 67, 15,    
   50,  0,        23,       550,   1432200, ctl,  0, 67, 16,    
   51,  0,         4,       554,   1442616, ctl,  0, 67, 14,    
   52,  0,         4,       558,   1453032, ctl,  0, 67, 15,    
   53,  0,        15,       573,   1492092, ctl,  0, 67, 14,    
   54,  0,         4,       577,   1502508, ctl,  0, 67, 16,    
   55,  0,         4,       581,   1512924, ctl,  0, 67, 15,    
   56,  0,        15,       596,   1551984, ctl,  0, 67, 14,    
   57,  0,         4,       600,   1562400, ctl,  0, 67, 15,    
   58,  0,        11,       611,   1591044, ctl,  0, 67, 16,    
   59,  0,         4,       615,   1601460, ctl,  0, 67, 15,    
   60,  0,         8,       623,   1622292, ctl,  0, 67, 14,    
   61,  0,         4,       627,   1632708, ctl,  0, 67, 15,    
   62,  0,        11,       638,   1661352, ctl,  0, 67, 14,    
   63,  0,         4,       642,   1671768, ctl,  0, 67, 15,    
   64,  0,        27,       669,   1742076, ctl,  0, 67, 14,    
   65,  0,         4,       673,   1752492, ctl,  0, 67, 15,    
   66,  0,        19,       692,   1801968, ctl,  0, 67, 14,    
   67,  0,         4,       696,   1812384, ctl,  0, 67, 15,    
   68,  0,        61,       757,   1971228, ctl,  0, 67, 16,    
   69,  0,         4,       761,   1981644, ctl,  0, 67, 15,    
   70,  0,        16,       777,   2023308, ctl,  0, 67, 16,    
   71,  0,         3,       780,   2031120, ctl,  0, 67, 15,    
   72,  0,        23,       803,   2091012, non,  0, 66, 30, F#4
   73,  0,         0,       803,   2091012, ctl,  0, 67, 16,    
   74,  0,         4,       807,   2101428, ctl,  0, 67, 15,    
   75,  0,        16,       823,   2143092, ctl,  0, 67, 16,    
   76,  0,         0,       823,   2143092, non,  0, 28, 32,  E1
   77,  0,         4,       827,   2153508, ctl,  0, 64,  5,    
   78,  0,         0,       827,   2153508, ctl,  0, 67, 15,    
   79,  0,         3,       830,   2161320, ctl,  0, 64, 14,    
   80,  0,         4,       834,   2171736, ctl,  0, 64, 22,    
   81,  0,         4,       838,   2182152, nof,  0, 66,  0,    
   82,  0,         0,       838,   2182152, ctl,  0, 64, 26,    
   83,  0,         4,       842,   2192568, ctl,  0, 64, 27,    
   84,  0,        15,       857,   2231628, ctl,  0, 64, 28,    
   85,  0,         1,       858,   2234232, ctl,  0, 67, 16,    
   86,  0,         3,       861,   2242044, ctl,  0, 64, 30,    
   87,  0,         0,       861,   2242044, ctl,  0, 67, 15,    
   88,  0,         4,       865,   2252460, ctl,  0, 64, 31,    
   89,  0,         4,       869,   2262876, ctl,  0, 64, 30,    
   90,  0,         4,       873,   2273292, ctl,  0, 64, 31,    
   91,  0,        11,       884,   2301936, ctl,  0, 64, 33,    
   92,  0,         4,       888,   2312352, ctl,  0, 64, 31,    
   93,  0,         4,       892,   2322768, ctl,  0, 64, 33,    
   94,  0,         8,       900,   2343600, ctl,  0, 64, 32,    
   95,  0,         7,       907,   2361828, ctl,  0, 64, 31,    
   96,  0,         4,       911,   2372244, ctl,  0, 64, 32,    
   97,  0,        16,       927,   2413908, ctl,  0, 64, 33,    
   98,  0,         4,       931,   2424324, ctl,  0, 64, 32,    
   99,  0,         1,       932,   2426928, ctl,  0, 67, 16,    
  100,  0,         3,       935,   2434740, ctl,  0, 64, 33,    
  101,  0,         1,       936,   2437344, ctl,  0, 67, 15,    
  102,  0,         3,       939,   2445156, ctl,  0, 64, 32,    
  103,  0,         0,       939,   2445156, ctl,  0, 67, 16,    
  104,  0,         3,       942,   2452968, ctl,  0, 64, 33,    
  105,  0,         0,       942,   2452968, ctl,  0, 67, 15,    
  106,  0,         4,       946,   2463384, ctl,  0, 64, 34,    
  107,  0,         7,       953,   2481612, ctl,  0, 64, 35,    
  108,  0,         8,       961,   2502444, ctl,  0, 64, 36,    
  109,  0,         4,       965,   2512860, ctl,  0, 64, 39,    
  110,  0,         3,       968,   2520672, non,  0, 73, 66, C#5
  111,  0,         1,       969,   2523276, ctl,  0, 64, 40,    
  112,  0,         3,       972,   2531088, ctl,  0, 64, 43,    
  113,  0,         4,       976,   2541504, ctl,  0, 64, 46,    
  114,  0,         4,       980,   2551920, ctl,  0, 64, 47,    
  115,  0,         4,       984,   2562336, ctl,  0, 64, 51,    
  116,  0,        12,       996,   2593584, ctl,  0, 67, 16,    
  117,  0,         3,       999,   2601396, non,  0, 33, 57,  A1
  118,  0,         1,      1000,   2604000, ctl,  0, 67, 15,    
  119,  0,        11,      1011,   2632644, ctl,  0, 67, 16,    
  120,  0,         4,      1015,   2643060, ctl,  0, 67, 15,    
  121,  0,         4,      1019,   2653476, ctl,  0, 67, 16,    
  122,  0,         0,      1019,   2653476, nof,  0, 73,  0,    
  123,  0,         3,      1022,   2661288, ctl,  0, 67, 15,    
  124,  0,         4,      1026,   2671704, nof,  0, 33,  0,    
  125,  0,         8,      1034,   2692536, non,  0, 61, 52, C#4
  126,  0,        21,      1055,   2747220, nof,  0, 61,  0,    
  127,  0,        14,      1069,   2783676, non,  0, 33, 53,  A1
  128,  0,        22,      1091,   2840964, ctl,  0, 67, 14,    
  129,  0,         2,      1093,   2846172, non,  0, 61, 55, C#4
  130,  0,         2,      1095,   2851380, ctl,  0, 67, 15,    
  131,  0,         2,      1097,   2856588, nof,  0, 33,  0,    
  132,  0,        15,      1112,   2895648, nof,  0, 61,  0,    
  133,  0,         3,      1115,   2903460, ctl,  0, 67, 16,    
  134,  0,         3,      1118,   2911272, ctl,  0, 67, 15,    
  135,  0,         4,      1122,   2921688, ctl,  0, 67, 16,    
  136,  0,         4,      1126,   2932104, ctl,  0, 64, 49,    
  137,  0,         0,      1126,   2932104, ctl,  0, 67, 15,    
  138,  0,         4,      1130,   2942520, ctl,  0, 64, 48,    
  139,  0,         4,      1134,   2952936, ctl,  0, 64, 47,    
  140,  0,         7,      1141,   2971164, ctl,  0, 64, 43,    
  141,  0,         4,      1145,   2981580, ctl,  0, 64, 39,    
  142,  0,         4,      1149,   2991996, ctl,  0, 64, 34,    
  143,  0,         4,      1153,   3002412, ctl,  0, 64, 28,    
  144,  0,         4,      1157,   3012828, ctl,  0, 64, 25,    
  145,  0,         4,      1161,   3023244, ctl,  0, 64, 20,    
  146,  0,         3,      1164,   3031056, ctl,  0, 64, 19,    
  147,  0,         4,      1168,   3041472, ctl,  0, 64, 18,    
  148,  0,         4,      1172,   3051888, ctl,  0, 64, 12,    
  149,  0,         4,      1176,   3062304, ctl,  0, 64, 10,    
  150,  0,         0,      1176,   3062304, non,  0, 61, 38, C#4
  151,  0,         1,      1177,   3064908, non,  0, 33, 27,  A1
  152,  0,         3,      1180,   3072720, ctl,  0, 64,  8,    
