dev,port,microsec,id,sec,ch,status,sci_pitch,d0,d1
  0,  0,       0,  0,  0.0000, 0,0x90,   C2, 36, 12
  0,  0,   84046,  1,  0.0840, 0,0x80,     , 36,  0
  0,  0,  138971,  2,  0.1390, 0,0x90,   A4, 69, 21
  0,  0,  920021,  3,  0.9200, 0,0x90,  F#3, 54, 17
  0,  0, 1010072,  4,  1.0101, 0,0x80,     , 69,  0
  0,  0, 1080069,  5,  1.0801, 0,0x80,     , 54,  0
  0,  0, 1783023,  6,  1.7830, 0,0x90,  F#6, 90, 31
  0,  0, 1878003,  7,  1.8780, 0,0x90,  G#5, 80, 44
  0,  0, 1881068,  8,  1.8811, 0,0x80,     , 90,  0
  0,  0, 1941067,  9,  1.9411, 0,0x80,     , 80,  0
  0,  0, 1980083, 10,  1.9801, 0,0x90,  F#6, 90, 44
  0,  0, 2052086, 11,  2.0521, 0,0x90,   B4, 71, 41
  0,  0, 2059066, 12,  2.0591, 0,0x80,     , 90,  0
  0,  0, 2110063, 13,  2.1101, 0,0x80,     , 71,  0
  0,  0, 2191082, 14,  2.1911, 0,0x90,  G#5, 80, 46
  0,  0, 2268077, 15,  2.2681, 0,0x80,     , 80,  0
  0,  0, 2300946, 16,  2.3009, 0,0x90,  F#6, 90, 49
  0,  0, 2386056, 17,  2.3861, 0,0x80,     , 90,  0
  0,  0, 2418079, 18,  2.4181, 0,0x90,   B4, 71, 49
  0,  0, 2481996, 19,  2.4820, 0,0x80,     , 71,  0
  0,  0, 2562423, 20,  2.5624, 0,0x90,  G#5, 80, 50
  0,  0, 2684099, 21,  2.6841, 0,0x90,  F#6, 90, 56
  0,  0, 2685095, 22,  2.6851, 0,0x80,     , 80,  0
  0,  0, 2747103, 23,  2.7471, 0,0x80,     , 90,  0
  0,  0, 2903113, 24,  2.9031, 0,0x90,   D4, 62, 47
  0,  0, 2906084, 25,  2.9061, 0,0x90,   B3, 59, 51
  0,  0, 2908119, 26,  2.9081, 0,0x90,   E3, 52, 42
  0,  0, 2953077, 27,  2.9531, 0,0x80,     , 62,  0
  0,  0, 2977095, 28,  2.9771, 0,0x80,     , 59,  0
  0,  0, 3041009, 29,  3.0410, 0,0x80,     , 52,  0
  0,  0, 3324173, 30,  3.3242, 0,0x90,  A#1, 34, 58
  0,  0, 3389146, 31,  3.3891, 0,0x80,     , 34,  0
  0,  0, 3457087, 32,  3.4571, 0,0x90,   E3, 52, 63
  0,  0, 3543130, 33,  3.5431, 0,0x80,     , 52,  0
  0,  0, 3606094, 34,  3.6061, 0,0x90,   D4, 62, 65
  0,  0, 3714128, 35,  3.7141, 0,0x80,     , 62,  0
  0,  0, 3969205, 36,  3.9692, 0,0x90,   B3, 59, 78
  0,  0, 4052203, 37,  4.0522, 0,0x80,     , 59,  0
  0,  0, 4107258, 38,  4.1073, 0,0x90,  F#6, 90, 76
  0,  0, 4204554, 39,  4.2046, 0,0x90,  G#5, 80, 82
  0,  0, 4236188, 40,  4.2362, 0,0x80,     , 90,  0
  0,  0, 4314185, 41,  4.3142, 0,0x90,  F#6, 90, 84
  0,  0, 4356201, 42,  4.3562, 0,0x80,     , 80,  0
  0,  0, 4404218, 43,  4.4042, 0,0x80,     , 90,  0
  0,  0, 4427215, 44,  4.4272, 0,0x90,   B3, 59, 98
  0,  0, 4684248, 45,  4.6842, 0,0x90,  A#6, 94,103
  0,  0, 4782206, 46,  4.7822, 0,0x80,     , 94,  0
  0,  0, 4965209, 47,  4.9652, 0,0x80,     , 59,  0
  0,  0, 5040265, 48,  5.0403, 0,0x90,   D3, 50, 90
  0,  0, 5124157, 49,  5.1242, 0,0x80,     , 50,  0
  0,  0, 5402293, 50,  5.4023, 0,0x90,   A3, 57, 43
  0,  0, 6168320, 51,  6.1683, 0,0x90,  F#2, 42, 28
  0,  0, 6184196, 52,  6.1842, 0,0x80,     , 57,  0
  0,  0, 6313395, 53,  6.3134, 0,0x80,     , 42,  0
  0,  0, 7045334, 54,  7.0453, 0,0x90,   D3, 50, 89
  0,  0, 7046279, 55,  7.0463, 0,0x90,  G#5, 80, 92
  0,  0, 7049309, 56,  7.0493, 0,0x90,   B3, 59, 97
  0,  0, 7052316, 57,  7.0523, 0,0x90,  F#6, 90, 82
  0,  0, 7053311, 58,  7.0533, 0,0x90,  A#6, 94, 78
  0,  0, 7061326, 59,  7.0613, 0,0x90,  G#6, 92, 62
  0,  0, 7090328, 60,  7.0903, 0,0x90,  A#5, 82, 26
  0,  0, 7116315, 61,  7.1163, 0,0x90,   A5, 81,  7
  0,  0, 7128401, 62,  7.1284, 0,0x80,     , 92,  0
  0,  0, 7130390, 63,  7.1304, 0,0x80,     , 80,  0
  0,  0, 7134442, 64,  7.1344, 0,0x80,     , 59,  0
  0,  0, 7140516, 65,  7.1405, 0,0x80,     , 94,  0
  0,  0, 7147299, 66,  7.1473, 0,0x80,     , 82,  0
  0,  0, 7168334, 67,  7.1683, 0,0x80,     , 50,  0
  0,  0, 7175193, 68,  7.1752, 0,0x80,     , 90,  0
  0,  0, 7207208, 69,  7.2072, 0,0x80,     , 81,  0
  0,  0, 7471344, 70,  7.4713, 0,0xb0,     , 64,124
  0,  0, 7481344, 71,  7.4813, 0,0xb0,     , 64,118
  0,  0, 7491330, 72,  7.4913, 0,0xb0,     , 64,109
  0,  0, 7501329, 73,  7.5013, 0,0xb0,     , 64, 96
  0,  0, 7511441, 74,  7.5114, 0,0xb0,     , 64, 78
  0,  0, 7521356, 75,  7.5214, 0,0xb0,     , 64, 55
  0,  0, 7531326, 76,  7.5313, 0,0xb0,     , 64, 37
  0,  0, 7541341, 77,  7.5413, 0,0xb0,     , 64, 21
  0,  0, 7551333, 78,  7.5513, 0,0xb0,     , 64,  9
  0,  0, 7561405, 79,  7.5614, 0,0xb0,     , 64,  2
  0,  0, 7571404, 80,  7.5714, 0,0xb0,     , 64,  3
  0,  0, 7581320, 81,  7.5813, 0,0xb0,     , 64,  0
  0,  0, 7675318, 82,  7.6753, 0,0x90,  A#1, 34, 92
  0,  0, 7701328, 83,  7.7013, 0,0xb0,     , 64,  3
  0,  0, 7711345, 84,  7.7113, 0,0xb0,     , 64, 12
  0,  0, 7721401, 85,  7.7214, 0,0xb0,     , 64, 25
  0,  0, 7731319, 86,  7.7313, 0,0xb0,     , 64, 44
  0,  0, 7741320, 87,  7.7413, 0,0xb0,     , 64, 67
  0,  0, 7751302, 88,  7.7513, 0,0xb0,     , 64, 91
  0,  0, 7761358, 89,  7.7614, 0,0xb0,     , 64,107
  0,  0, 7769322, 90,  7.7693, 0,0x80,     , 34,  0
  0,  0, 7771330, 91,  7.7713, 0,0xb0,     , 64,119
  0,  0, 7781341, 92,  7.7813, 0,0xb0,     , 64,127
  0,  0, 8007367, 93,  8.0074, 0,0x90,  A#3, 58, 98
  0,  0, 8012325, 94,  8.0123, 0,0x90,  C#5, 73,104
  0,  0, 8090417, 95,  8.0904, 0,0x80,     , 73,  0
  0,  0, 8095343, 96,  8.0953, 0,0x80,     , 58,  0
  0,  0, 8424438, 97,  8.4244, 0,0x90,  C#6, 85, 97
  0,  0, 8514376, 98,  8.5144, 0,0x80,     , 85,  0
  0,  0, 8582386, 99,  8.5824, 0,0x90,   E5, 76, 76
  0,  0, 8672431,100,  8.6724, 0,0x80,     , 76,  0
  0,  0, 8740449,101,  8.7404, 0,0x90,  G#1, 32,103
  0,  0, 8847424,102,  8.8474, 0,0x80,     , 32,  0
  0,  0, 9454410,103,  9.4544, 0,0x90,  G#4, 68, 52
  0,  0, 9579366,104,  9.5794, 0,0x80,     , 68,  0
  0,  0, 9971515,105,  9.9715, 0,0xb0,     , 64,124
  0,  0, 9981429,106,  9.9814, 0,0xb0,     , 64,122
  0,  0, 9991514,107,  9.9915, 0,0xb0,     , 64,120
  0,  0,10001499,108, 10.0015, 0,0xb0,     , 64,117
  0,  0,10011559,109, 10.0116, 0,0xb0,     , 64,115
  0,  0,10021622,110, 10.0216, 0,0xb0,     , 64,113
  0,  0,10031505,111, 10.0315, 0,0xb0,     , 64,111
  0,  0,10041464,112, 10.0415, 0,0xb0,     , 64,110
  0,  0,10071455,113, 10.0715, 0,0xb0,     , 64,109
  0,  0,10091549,114, 10.0915, 0,0xb0,     , 64,110
  0,  0,10101456,115, 10.1015, 0,0xb0,     , 64,109
  0,  0,10111483,116, 10.1115, 0,0xb0,     , 64,110
  0,  0,10117499,117, 10.1175, 0,0x90,   E3, 52, 92
  0,  0,10131491,118, 10.1315, 0,0xb0,     , 64,111
  0,  0,10151459,119, 10.1515, 0,0xb0,     , 64,113
  0,  0,10171516,120, 10.1715, 0,0xb0,     , 64,114
  0,  0,10181428,121, 10.1814, 0,0xb0,     , 64,115
  0,  0,10191481,122, 10.1915, 0,0xb0,     , 64,116
  0,  0,10201497,123, 10.2015, 0,0xb0,     , 64,117
  0,  0,10206458,124, 10.2065, 0,0x80,     , 52,  0
  0,  0,10221460,125, 10.2215, 0,0xb0,     , 64,118
  0,  0,10251737,126, 10.2517, 0,0xb0,     , 64,119
  0,  0,10254419,127, 10.2544, 0,0x90,   D4, 62, 90
  0,  0,10271481,128, 10.2715, 0,0xb0,     , 64,120
  0,  0,10291515,129, 10.2915, 0,0xb0,     , 64,121
  0,  0,10301428,130, 10.3014, 0,0xb0,     , 64,122
  0,  0,10311475,131, 10.3115, 0,0xb0,     , 64,123
  0,  0,10321534,132, 10.3215, 0,0xb0,     , 64,124
  0,  0,10331530,133, 10.3315, 0,0xb0,     , 64,127
  0,  0,10342363,134, 10.3424, 0,0x80,     , 62,  0
  0,  0,10390555,135, 10.3906, 0,0x90,  A#1, 34, 91
  0,  0,10490536,136, 10.4905, 0,0x80,     , 34,  0
  0,  0,10532516,137, 10.5325, 0,0x90,   E3, 52, 96
  0,  0,10614586,138, 10.6146, 0,0x80,     , 52,  0
  0,  0,10660563,139, 10.6606, 0,0x90,  A#1, 34, 84
  0,  0,10667496,140, 10.6675, 0,0x90,   D4, 62, 92
  0,  0,10733515,141, 10.7335, 0,0x90,   F3, 53,  1
  0,  0,10758645,142, 10.7586, 0,0x80,     , 62,  0
  0,  0,10775555,143, 10.7756, 0,0x80,     , 34,  0
  0,  0,10803503,144, 10.8035, 0,0x90,   E3, 52, 99
  0,  0,10827546,145, 10.8275, 0,0x90,  G#1, 32, 66
  0,  0,10832513,146, 10.8325, 0,0x90,  F#1, 30, 46
  0,  0,10843534,147, 10.8435, 0,0x80,     , 53,  0
  0,  0,10882531,148, 10.8825, 0,0x80,     , 52,  0
  0,  0,10898524,149, 10.8985, 0,0x80,     , 32,  0
  0,  0,10915526,150, 10.9155, 0,0x80,     , 30,  0
  0,  0,10942520,151, 10.9425, 0,0x90,   G2, 43,109
  0,  0,10947528,152, 10.9475, 0,0x90,   D4, 62,102
  0,  0,10958510,153, 10.9585, 0,0x90,  A#1, 34, 80
  0,  0,10988551,154, 10.9886, 0,0x90,  C#2, 37, 27
