UID,trk,dtick,atick,amicro,type,ch,D0,D1,sci_pitch
    0,  0,         0,         0,         0,tempo,120,bpm,,    
    1,  0,         0,         0,         0, ctl,  0, 64,  6,    
    2,  0,        49,        49,    127604, ctl,  0, 64,  7,    
    3,  0,         8,        57,    148437, ctl,  0, 64,  8,    
    4,  0,         4,        61,    158853, ctl,  0, 64,  7,    
    5,  0,         4,        65,    169269, ctl,  0, 64,  8,    
    6,  0,         4,        69,    179685, ctl,  0, 64,  7,    
    7,  0,         7,        76,    197914, ctl,  0, 64,  6,    
    8,  0,        85,       161,    419268, ctl,  0, 64,  5,    
    9,  0,         4,       165,    429684, ctl,  0, 64,  6,    
   10,  0,        11,       176,    458329, ctl,  0, 64,  5,    
   11,  0,        19,       195,    507808, ctl,  0, 64,  4,    
   12,  0,         4,       199,    518224, ctl,  0, 64,  5,    
   13,  0,         4,       203,    528640, ctl,  0, 64,  4,    
   14,  0,         4,       207,    539056, ctl,  0, 64,  5,    
   15,  0,         4,       211,    549472, ctl,  0, 64,  4,    
   16,  0,        11,       222,    578117, ctl,  0, 64,  5,    
   17,  0,         4,       226,    588533, ctl,  0, 64,  4,    
   18,  0,         8,       234,    609366, ctl,  0, 64,  5,    
   19,  0,        15,       249,    648428, ctl,  0, 64,  6,    
   20,  0,        15,       264,    687490, ctl,  0, 64,  5,    
   21,  0,        35,       299,    778635, ctl,  0, 64,  6,    
   22,  0,        42,       341,    888010, ctl,  0, 64,  7,    
   23,  0,         4,       345,    898426, ctl,  0, 64,  8,    
   24,  0,         4,       349,    908842, ctl,  0, 64,  9,    
   25,  0,         4,       353,    919258, ctl,  0, 64, 10,    
   26,  0,         4,       357,    929674, ctl,  0, 64, 11,    
   27,  0,         4,       361,    940090, ctl,  0, 64, 12,    
   28,  0,        15,       376,    979152, ctl,  0, 64, 13,    
   29,  0,         4,       380,    989568, ctl,  0, 64, 14,    
   30,  0,         4,       384,    999984, ctl,  0, 64, 16,    
   31,  0,         3,       387,   1007796, ctl,  0, 64, 18,    
   32,  0,         4,       391,   1018212, ctl,  0, 64, 20,    
   33,  0,         4,       395,   1028628, ctl,  0, 64, 21,    
   34,  0,         4,       399,   1039044, ctl,  0, 64, 23,    
   35,  0,         4,       403,   1049460, ctl,  0, 64, 26,    
   36,  0,         4,       407,   1059876, ctl,  0, 64, 28,    
   37,  0,         3,       410,   1067688, ctl,  0, 64, 30,    
   38,  0,         4,       414,   1078104, ctl,  0, 64, 32,    
   39,  0,         4,       418,   1088520, ctl,  0, 64, 34,    
   40,  0,         4,       422,   1098936, ctl,  0, 64, 35,    
   41,  0,         5,       427,   1111956, ctl,  0, 64, 37,    
   42,  0,         3,       430,   1119768, ctl,  0, 64, 39,    
   43,  0,         3,       433,   1127580, ctl,  0, 64, 40,    
   44,  0,         4,       437,   1137996, ctl,  0, 64, 41,    
   45,  0,         4,       441,   1148412, ctl,  0, 64, 42,    
   46,  0,        69,       510,   1328099, ctl,  0, 64, 43,    
   47,  0,         8,       518,   1348932, ctl,  0, 64, 44,    
   48,  0,        96,       614,   1598932, ctl,  0, 64, 45,    
   49,  0,        12,       626,   1630182, ctl,  0, 64, 46,    
   50,  0,        34,       660,   1718723, ctl,  0, 64, 45,    
   51,  0,         8,       668,   1739556, ctl,  0, 64, 46,    
   52,  0,        30,       698,   1817681, ctl,  0, 64, 45,    
   53,  0,        35,       733,   1908826, ctl,  0, 64, 44,    
   54,  0,        31,       764,   1989555, ctl,  0, 64, 45,    
   55,  0,         4,       768,   1999971, ctl,  0, 64, 44,    
   56,  0,        19,       787,   2049450, ctl,  0, 64, 43,    
   57,  0,        11,       798,   2078095, ctl,  0, 64, 42,    
   58,  0,       223,      1021,   2658824, ctl,  0, 64, 43,    
   59,  0,         8,      1029,   2679657, ctl,  0, 64, 44,    
   60,  0,        19,      1048,   2729136, ctl,  0, 64, 45,    
   61,  0,        11,      1059,   2757781, ctl,  0, 64, 46,    
   62,  0,         8,      1067,   2778614, ctl,  0, 64, 47,    
   63,  0,        12,      1079,   2809864, ctl,  0, 64, 48,    
   64,  0,         3,      1082,   2817676, ctl,  0, 64, 47,    
   65,  0,         4,      1086,   2828092, ctl,  0, 64, 48,    
   66,  0,         4,      1090,   2838508, ctl,  0, 64, 47,    
   67,  0,         4,      1094,   2848924, ctl,  0, 64, 48,    
   68,  0,         4,      1098,   2859340, ctl,  0, 64, 47,    
   69,  0,         4,      1102,   2869756, ctl,  0, 64, 48,    
   70,  0,         3,      1105,   2877568, ctl,  0, 64, 47,    
   71,  0,         4,      1109,   2887984, ctl,  0, 64, 48,    
   72,  0,        58,      1167,   3039025, ctl,  0, 64, 47,    
   73,  0,         4,      1171,   3049441, ctl,  0, 64, 48,    
   74,  0,         4,      1175,   3059857, ctl,  0, 64, 47,    
   75,  0,        15,      1190,   3098919, ctl,  0, 64, 46,    
   76,  0,        54,      1244,   3239544, ctl,  0, 64, 45,    
   77,  0,        19,      1263,   3289023, ctl,  0, 64, 44,    
   78,  0,        65,      1328,   3458293, ctl,  0, 64, 43,    
   79,  0,        12,      1340,   3489543, ctl,  0, 64, 42,    
   80,  0,        15,      1355,   3528605, ctl,  0, 64, 41,    
   81,  0,         4,      1359,   3539021, ctl,  0, 64, 40,    
   82,  0,         8,      1367,   3559854, ctl,  0, 64, 39,    
   83,  0,         3,      1370,   3567666, ctl,  0, 64, 38,    
   84,  0,         4,      1374,   3578082, ctl,  0, 64, 39,    
   85,  0,         8,      1382,   3598915, ctl,  0, 64, 40,    
   86,  0,         4,      1386,   3609331, ctl,  0, 64, 41,    
   87,  0,         4,      1390,   3619747, ctl,  0, 64, 42,    
   88,  0,         5,      1395,   3632767, non,  0, 47, 39,  B2
   89,  0,         2,      1397,   3637975, ctl,  0, 64, 43,    
   90,  0,         4,      1401,   3648391, ctl,  0, 64, 44,    
   91,  0,         4,      1405,   3658807, ctl,  0, 64, 45,    
   92,  0,         0,      1405,   3658807, non,  0, 62, 37,  D4
   93,  0,         8,      1413,   3679640, ctl,  0, 64, 46,    
   94,  0,         4,      1417,   3690056, ctl,  0, 64, 47,    
   95,  0,         3,      1420,   3697868, ctl,  0, 64, 49,    
   96,  0,         5,      1425,   3710888, ctl,  0, 64, 50,    
   97,  0,         0,      1425,   3710888, nof,  0, 62,  0,    
   98,  0,         3,      1428,   3718700, nof,  0, 47,  0,    
   99,  0,         0,      1428,   3718700, ctl,  0, 64, 51,    
  100,  0,         4,      1432,   3729116, ctl,  0, 64, 53,    
  101,  0,         4,      1436,   3739532, ctl,  0, 64, 55,    
  102,  0,         4,      1440,   3749948, ctl,  0, 64, 57,    
  103,  0,         3,      1443,   3757760, ctl,  0, 64, 60,    
  104,  0,         4,      1447,   3768176, ctl,  0, 64, 64,    
  105,  0,         1,      1448,   3770780, non,  0, 40, 52,  E2
  106,  0,         3,      1451,   3778592, ctl,  0, 64, 68,    
  107,  0,         4,      1455,   3789008, ctl,  0, 64, 73,    
  108,  0,         4,      1459,   3799424, ctl,  0, 64, 77,    
  109,  0,         4,      1463,   3809840, ctl,  0, 64, 81,    
  110,  0,         3,      1466,   3817652, ctl,  0, 64, 85,    
  111,  0,         4,      1470,   3828068, ctl,  0, 64, 89,    
  112,  0,         1,      1471,   3830672, nof,  0, 40,  0,    
  113,  0,         3,      1474,   3838484, ctl,  0, 64, 91,    
  114,  0,         4,      1478,   3848900, ctl,  0, 64, 93,    
  115,  0,         4,      1482,   3859316, ctl,  0, 64, 95,    
  116,  0,         4,      1486,   3869732, ctl,  0, 64, 96,    
  117,  0,         2,      1488,   3874940, non,  0, 50, 79,  D3
  118,  0,         8,      1496,   3895773, non,  0, 32, 77, G#1
  119,  0,         5,      1501,   3908793, nof,  0, 50,  0,    
  120,  0,         0,      1501,   3908793, non,  0, 30, 60, F#1
  121,  0,        11,      1512,   3937438, non,  0, 49,  1, C#3
  122,  0,         1,      1513,   3940042, ctl,  0, 64, 95,    
  123,  0,         3,      1516,   3947854, ctl,  0, 64, 94,    
  124,  0,         4,      1520,   3958270, ctl,  0, 64, 92,    
  125,  0,         4,      1524,   3968686, ctl,  0, 64, 89,    
  126,  0,         2,      1526,   3973894, nof,  0, 30,  0,    
  127,  0,         2,      1528,   3979102, ctl,  0, 64, 87,    
  128,  0,         1,      1529,   3981706, nof,  0, 32,  0,    
  129,  0,         4,      1533,   3992122, ctl,  0, 64, 85,    
  130,  0,         3,      1536,   3999934, ctl,  0, 64, 82,    
  131,  0,         3,      1539,   4007746, ctl,  0, 64, 80,    
  132,  0,         4,      1543,   4018162, non,  0, 49,  1, C#3
  133,  0,         0,      1543,   4018162, ctl,  0, 64, 78,    
  134,  0,         1,      1544,   4020766, non,  0, 25, 84, C#1
  135,  0,         0,      1544,   4020766, non,  0, 41, 74,  F2
  136,  0,         3,      1547,   4028578, ctl,  0, 64, 75,    
  137,  0,         1,      1548,   4031182, non,  0, 47, 53,  B2
  138,  0,         1,      1549,   4033786, non,  0, 48, 46,  C3
  139,  0,         2,      1551,   4038994, ctl,  0, 64, 73,    
  140,  0,         4,      1555,   4049410, ctl,  0, 64, 71,    
  141,  0,         4,      1559,   4059826, ctl,  0, 64, 69,    
  142,  0,         4,      1563,   4070242, ctl,  0, 64, 67,    
  143,  0,         0,      1563,   4070242, nof,  0, 41,  0,    
  144,  0,         3,      1566,   4078054, nof,  0, 25,  0,    
  145,  0,         0,      1566,   4078054, ctl,  0, 64, 64,    
  146,  0,         4,      1570,   4088470, ctl,  0, 64, 62,    
  147,  0,         1,      1571,   4091074, nof,  0, 47,  0,    
  148,  0,         2,      1573,   4096282, nof,  0, 48,  0,    
