dev,port,microsec,id,sec,ch,status,sci_pitch,d0,d1
  0,  0,       0,  0,  0.0000, 0,0xb0,     , 64, 31
  0,  0,   10000,  1,  0.0100, 0,0xb0,     , 64, 30
  0,  0,  109975,  2,  0.1100, 0,0xb0,     , 64, 31
  0,  0,  119969,  3,  0.1200, 0,0xb0,     , 64, 30
  0,  0,  130047,  4,  0.1300, 0,0xb0,     , 64, 31
  0,  0,  159975,  5,  0.1600, 0,0xb0,     , 64, 30
  0,  0,  219974,  6,  0.2200, 0,0xb0,     , 64, 31
  0,  0,  239993,  7,  0.2400, 0,0xb0,     , 64, 32
  0,  0,  279937,  8,  0.2799, 0,0xb0,     , 64, 33
  0,  0,  290008,  9,  0.2900, 0,0xb0,     , 64, 34
  0,  0,  339981, 10,  0.3400, 0,0xb0,     , 64, 33
  0,  0,  350006, 11,  0.3500, 0,0xb0,     , 64, 34
  0,  0,  380934, 12,  0.3809, 0,0xb0,     , 64, 33
  0,  0,  390014, 13,  0.3900, 0,0xb0,     , 64, 34
  0,  0,  410014, 14,  0.4100, 0,0xb0,     , 64, 33
  0,  0,  460105, 15,  0.4601, 0,0xb0,     , 64, 34
  0,  0,  480887, 16,  0.4809, 0,0xb0,     , 64, 35
  0,  0,  529889, 17,  0.5299, 0,0xb0,     , 64, 34
  0,  0,  590016, 18,  0.5900, 0,0xb0,     , 64, 35
  0,  0,  649989, 19,  0.6500, 0,0xb0,     , 64, 36
  0,  0,  700097, 20,  0.7001, 0,0xb0,     , 64, 35
  0,  0,  729991, 21,  0.7300, 0,0xb0,     , 64, 36
  0,  0, 1070085, 22,  1.0701, 0,0xb0,     , 64, 35
  0,  0, 1119965, 23,  1.1200, 0,0xb0,     , 64, 36
  0,  0, 1160049, 24,  1.1600, 0,0xb0,     , 64, 37
  0,  0, 1180098, 25,  1.1801, 0,0xb0,     , 64, 38
  0,  0, 1190075, 26,  1.1901, 0,0xb0,     , 64, 39
  0,  0, 1200036, 27,  1.2000, 0,0xb0,     , 64, 40
  0,  0, 1220078, 28,  1.2201, 0,0xb0,     , 64, 41
  0,  0, 1240033, 29,  1.2400, 0,0xb0,     , 64, 42
  0,  0, 1360166, 30,  1.3602, 0,0xb0,     , 64, 43
  0,  0, 1420091, 31,  1.4201, 0,0xb0,     , 64, 44
  0,  0, 1440038, 32,  1.4400, 0,0xb0,     , 64, 46
  0,  0, 1450043, 33,  1.4500, 0,0xb0,     , 64, 47
  0,  0, 1460092, 34,  1.4601, 0,0xb0,     , 64, 49
  0,  0, 1470074, 35,  1.4701, 0,0xb0,     , 64, 52
  0,  0, 1478128, 36,  1.4781, 0,0x90,   E7,100, 81
  0,  0, 1480031, 37,  1.4800, 0,0xb0,     , 64, 56
  0,  0, 1480991, 38,  1.4810, 0,0x90,   G1, 31, 60
  0,  0, 1485071, 39,  1.4851, 0,0x90,  G#2, 44, 62
  0,  0, 1488107, 40,  1.4881, 0,0x90,  C#6, 85, 65
  0,  0, 1490030, 41,  1.4900, 0,0xb0,     , 64, 60
  0,  0, 1500184, 42,  1.5002, 0,0xb0,     , 64, 66
  0,  0, 1510076, 43,  1.5101, 0,0xb0,     , 64, 74
  0,  0, 1520021, 44,  1.5200, 0,0xb0,     , 64, 82
  0,  0, 1529924, 45,  1.5299, 0,0xb0,     , 64, 92
  0,  0, 1540079, 46,  1.5401, 0,0xb0,     , 64,102
  0,  0, 1545453, 47,  1.5455, 0,0x80,     , 44,  0
  0,  0, 1550083, 48,  1.5501, 0,0xb0,     , 64,111
  0,  0, 1552079, 49,  1.5521, 0,0x80,     , 31,  0
  0,  0, 1560084, 50,  1.5601, 0,0xb0,     , 64,119
  0,  0, 1570186, 51,  1.5702, 0,0xb0,     , 64,124
  0,  0, 1580109, 52,  1.5801, 0,0xb0,     , 64,127
  0,  0, 1651057, 53,  1.6511, 0,0x80,     , 85,  0
  0,  0, 1928114, 54,  1.9281, 0,0x90,   C4, 60, 34
  0,  0, 2035069, 55,  2.0351, 0,0x90,   D3, 50, 39
  0,  0, 2050139, 56,  2.0501, 0,0xb0,     , 64,124
  0,  0, 2060124, 57,  2.0601, 0,0xb0,     , 64,123
  0,  0, 2066293, 58,  2.0663, 0,0x90,  C#7, 97, 47
  0,  0, 2070039, 59,  2.0700, 0,0xb0,     , 64,122
  0,  0, 2079966, 60,  2.0800, 0,0xb0,     , 64,121
  0,  0, 2085044, 61,  2.0850, 0,0x80,     , 60,  0
  0,  0, 2090137, 62,  2.0901, 0,0xb0,     , 64,120
  0,  0, 2101105, 63,  2.1011, 0,0x80,     , 50,  0
  0,  0, 2110021, 64,  2.1100, 0,0xb0,     , 64,119
  0,  0, 2130151, 65,  2.1302, 0,0xb0,     , 64,118
  0,  0, 2150104, 66,  2.1501, 0,0xb0,     , 64,116
  0,  0, 2152973, 67,  2.1530, 0,0x80,     ,100,  0
  0,  0, 2160114, 68,  2.1601, 0,0xb0,     , 64,115
  0,  0, 2161038, 69,  2.1610, 0,0x80,     , 97,  0
  0,  0, 2170137, 70,  2.1701, 0,0xb0,     , 64,114
  0,  0, 2190143, 71,  2.1901, 0,0xb0,     , 64,112
  0,  0, 2210139, 72,  2.2101, 0,0xb0,     , 64,111
  0,  0, 2230101, 73,  2.2301, 0,0xb0,     , 64,110
  0,  0, 2239977, 74,  2.2400, 0,0xb0,     , 64,109
  0,  0, 2254940, 75,  2.2549, 0,0xb0,     , 64,108
  0,  0, 2260226, 76,  2.2602, 0,0xb0,     , 64,106
  0,  0, 2270144, 77,  2.2701, 0,0xb0,     , 64,105
  0,  0, 2280345, 78,  2.2803, 0,0xb0,     , 64,104
  0,  0, 2330112, 79,  2.3301, 0,0xb0,     , 64,103
  0,  0, 2430164, 80,  2.4302, 0,0xb0,     , 64,102
  0,  0, 2480159, 81,  2.4802, 0,0xb0,     , 64,101
  0,  0, 2610213, 82,  2.6102, 0,0xb0,     , 64,100
  0,  0, 2630281, 83,  2.6303, 0,0xb0,     , 64, 99
  0,  0, 2640114, 84,  2.6401, 0,0xb0,     , 64, 98
  0,  0, 2660120, 85,  2.6601, 0,0xb0,     , 64, 97
  0,  0, 2690125, 86,  2.6901, 0,0xb0,     , 64, 96
  0,  0, 2750135, 87,  2.7501, 0,0xb0,     , 64, 95
  0,  0, 2790115, 88,  2.7901, 0,0xb0,     , 64, 94
  0,  0, 2810125, 89,  2.8101, 0,0xb0,     , 64, 93
  0,  0, 2830137, 90,  2.8301, 0,0xb0,     , 64, 92
  0,  0, 2870124, 91,  2.8701, 0,0xb0,     , 64, 91
