UID,trk,dtick,atick,amicro,type,ch,D0,D1,sci_pitch
    0,  0,         0,         0,         0,tempo,120,bpm,,    
    1,  0,         0,         0,         0, ctl,  0, 64,  2,    
    2,  0,         3,         3,      7812, ctl,  0, 64,  4,    
    3,  0,         4,         7,     18228, ctl,  0, 64,  5,    
    4,  0,         4,        11,     28644, ctl,  0, 64,  6,    
    5,  0,         4,        15,     39060, ctl,  0, 64,  8,    
    6,  0,         4,        19,     49476, ctl,  0, 64,  9,    
    7,  0,         4,        23,     59892, ctl,  0, 64, 11,    
    8,  0,         3,        26,     67704, ctl,  0, 64, 14,    
    9,  0,         4,        30,     78120, ctl,  0, 64, 20,    
   10,  0,         4,        34,     88536, ctl,  0, 64, 27,    
   11,  0,         4,        38,     98952, ctl,  0, 64, 36,    
   12,  0,         4,        42,    109368, ctl,  0, 64, 45,    
   13,  0,         0,        42,    109368, non,  0, 44, 76, G#2
   14,  0,         2,        44,    114576, non,  0, 31, 52,  G1
   15,  0,         0,        44,    114576, non,  0,100, 81,  E7
   16,  0,         2,        46,    119784, ctl,  0, 64, 54,    
   17,  0,         1,        47,    122388, non,  0, 85, 70, C#6
   18,  0,         2,        49,    127596, ctl,  0, 64, 63,    
   19,  0,         4,        53,    138012, ctl,  0, 64, 72,    
   20,  0,         4,        57,    148428, ctl,  0, 64, 84,    
   21,  0,         4,        61,    158844, ctl,  0, 64, 96,    
   22,  0,         4,        65,    169260, ctl,  0, 64,107,    
   23,  0,         1,        66,    171864, nof,  0, 44,  0,    
   24,  0,         3,        69,    179676, ctl,  0, 64,116,    
   25,  0,         0,        69,    179676, nof,  0, 31,  0,    
   26,  0,         3,        72,    187488, ctl,  0, 64,122,    
   27,  0,         4,        76,    197904, ctl,  0, 64,127,    
   28,  0,        64,       140,    364570, nof,  0, 85,  0,    
   29,  0,        44,       184,    479153, non,  0, 60, 50,  C4
   30,  0,        11,       195,    507798, ctl,  0, 64,125,    
   31,  0,         4,       199,    518214, ctl,  0, 64,124,    
   32,  0,         4,       203,    528630, ctl,  0, 64,123,    
   33,  0,         4,       207,    539046, ctl,  0, 64,122,    
   34,  0,         4,       211,    549462, ctl,  0, 64,121,    
   35,  0,         4,       215,    559878, ctl,  0, 64,120,    
   36,  0,         3,       218,    567690, non,  0, 50, 53,  D3
   37,  0,        12,       230,    598940, ctl,  0, 64,119,    
   38,  0,         2,       232,    604148, nof,  0, 60,  0,    
   39,  0,         3,       235,    611960, non,  0, 97, 43, C#7
   40,  0,         3,       238,    619772, nof,  0, 50,  0,    
   41,  0,         3,       241,    627584, ctl,  0, 64,118,    
   42,  0,         8,       249,    648417, ctl,  0, 64,117,    
   43,  0,         8,       257,    669250, ctl,  0, 64,116,    
   44,  0,         7,       264,    687479, nof,  0, 97,  0,    
   45,  0,         1,       265,    690083, nof,  0,100,  0,    
   46,  0,        11,       276,    718728, ctl,  0, 64,117,    
   47,  0,         4,       280,    729144, ctl,  0, 64,116,    
   48,  0,        73,       353,    919248, ctl,  0, 64,115,    
   49,  0,         4,       357,    929664, ctl,  0, 64,116,    
   50,  0,         4,       361,    940080, ctl,  0, 64,115,    
   51,  0,         7,       368,    958309, ctl,  0, 64,116,    
   52,  0,        19,       387,   1007788, ctl,  0, 64,115,    
   53,  0,         8,       395,   1028621, ctl,  0, 64,114,    
   54,  0,         8,       403,   1049454, ctl,  0, 64,113,    
   55,  0,        30,       433,   1127579, ctl,  0, 64,112,    
   56,  0,        16,       449,   1169245, ctl,  0, 64,111,    
   57,  0,        19,       468,   1218724, ctl,  0, 64,110,    
   58,  0,       151,       619,   1611953, non,  0, 68, 39, G#4
   59,  0,         3,       622,   1619765, ctl,  0, 64,109,    
   60,  0,        11,       633,   1648410, ctl,  0, 64,110,    
   61,  0,        12,       645,   1679660, nof,  0, 68,  0,    
   62,  0,        19,       664,   1729139, ctl,  0, 64,109,    
   63,  0,        10,       674,   1755180, non,  0, 28, 52,  E1
   64,  0,         1,       675,   1757784, ctl,  0, 64,110,    
   65,  0,        30,       705,   1835909, nof,  0, 28,  0,    
   66,  0,        86,       791,   2059867, non,  0, 36, 49,  C2
   67,  0,         0,       791,   2059867, non,  0, 44, 51, G#2
   68,  0,         4,       795,   2070283, non,  0, 57, 43,  A3
   69,  0,         2,       797,   2075491, non,  0, 51, 34, D#3
