dev,port,microsec,id,sec,ch,status,sci_pitch,d0,d1
  3,  0,       0,  0,  0.0000, 0,0x80,     , 78,  0
  3,  0,   38990,  1,  0.0390, 0,0x80,     , 81,  0
  3,  0,   58892,  2,  0.0589, 0,0x80,     , 72,  0
  3,  0, 1540831,  3,  1.5408, 0,0x90,   A5, 81, 57
  3,  0, 1546825,  4,  1.5468, 0,0x90,  D#5, 75, 57
  3,  0, 1548825,  5,  1.5488, 0,0x90,  G#4, 68, 38
  3,  0, 1594827,  6,  1.5948, 0,0x80,     , 68,  0
  3,  0, 1982848,  7,  1.9828, 0,0x90,   D3, 50, 58
  3,  0, 2042848,  8,  2.0428, 0,0x80,     , 50,  0
  3,  0, 2438822,  9,  2.4388, 0,0x90,  F#5, 78, 70
  3,  0, 2526828, 10,  2.5268, 0,0x90,   A1, 33, 95
  3,  0, 2531816, 11,  2.5318, 0,0xb0,     , 64, 10
  3,  0, 2541820, 12,  2.5418, 0,0xb0,     , 64, 22
  3,  0, 2551798, 13,  2.5518, 0,0xb0,     , 64, 41
  3,  0, 2561819, 14,  2.5618, 0,0xb0,     , 64, 67
  3,  0, 2571818, 15,  2.5718, 0,0xb0,     , 64, 91
  3,  0, 2581816, 16,  2.5818, 0,0xb0,     , 64,107
  3,  0, 2591819, 17,  2.5918, 0,0xb0,     , 64,119
  3,  0, 2601823, 18,  2.6018, 0,0xb0,     , 64,127
  3,  0, 2609823, 19,  2.6098, 0,0x80,     , 33,  0
  3,  0, 2633754, 20,  2.6338, 0,0x90,   G4, 67, 82
  3,  0, 2720875, 21,  2.7209, 0,0x80,     , 75,  0
  3,  0, 2742829, 22,  2.7428, 0,0x80,     , 78,  0
  3,  0, 2785874, 23,  2.7859, 0,0x90,   D4, 62, 49
  3,  0, 2828835, 24,  2.8288, 0,0x80,     , 62,  0
  3,  0, 2853768, 25,  2.8538, 0,0x80,     , 67,  0
  3,  0, 3112891, 26,  3.1129, 0,0x90,   A1, 33, 62
  3,  0, 3172898, 27,  3.1729, 0,0x80,     , 33,  0
  3,  0, 3178888, 28,  3.1789, 0,0x80,     , 81,  0
  3,  0, 3186889, 29,  3.1869, 0,0x90,   G4, 67, 64
  3,  0, 3226899, 30,  3.2269, 0,0x80,     , 67,  0
  3,  0, 3371945, 31,  3.3719, 0,0xb0,     , 64,124
  3,  0, 3381898, 32,  3.3819, 0,0xb0,     , 64,121
  3,  0, 3391897, 33,  3.3919, 0,0xb0,     , 64,116
