UID,trk,dtick,atick,amicro,type,ch,D0,D1,sci_pitch
    0,  0,         0,         0,         0,tempo,120,bpm,,    
    1,  0,         0,         0,         0, ctl,  0, 64,116,    
    2,  0,         3,         3,      7812, ctl,  0, 64,117,    
    3,  0,         4,         7,     18228, ctl,  0, 64,118,    
    4,  0,         4,        11,     28644, ctl,  0, 64,119,    
    5,  0,         8,        19,     49477, ctl,  0, 64,120,    
    6,  0,         7,        26,     67706, ctl,  0, 64,121,    
    7,  0,        85,       111,    289060, ctl,  0, 64,122,    
    8,  0,        50,       161,    419268, ctl,  0, 64,123,    
    9,  0,        92,       253,    658851, ctl,  0, 64,124,    
   10,  0,        65,       318,    828121, ctl,  0, 64,123,    
   11,  0,         4,       322,    838537, ctl,  0, 64,124,    
   12,  0,       305,       627,   1632807, non,  0, 36, 13,  C2
   13,  0,        28,       655,   1705723, non,  0, 81, 12,  A5
   14,  0,        24,       679,   1768223, ctl,  0, 64,125,    
   15,  0,         6,       685,   1783848, nof,  0, 81,  0,    
   16,  0,         2,       687,   1789056, non,  0, 88, 36,  E6
   17,  0,         5,       692,   1802076, nof,  0, 36,  0,    
   18,  0,         6,       698,   1817701, ctl,  0, 64,127,    
   19,  0,        23,       721,   1877596, nof,  0, 88,  0,    
   20,  0,        29,       750,   1953116, non,  0, 54, 49, F#3
   21,  0,        18,       768,   1999991, non,  0, 80, 59, G#5
   22,  0,        12,       780,   2031241, nof,  0, 54,  0,    
   23,  0,         3,       783,   2039053, ctl,  0, 67,122,    
   24,  0,         4,       787,   2049469, ctl,  0, 67,114,    
   25,  0,         1,       788,   2052073, nof,  0, 80,  0,    
   26,  0,         3,       791,   2059885, ctl,  0, 67,103,    
   27,  0,         3,       794,   2067697, non,  0, 81, 78,  A5
   28,  0,         0,       794,   2067697, ctl,  0, 67, 89,    
   29,  0,         4,       798,   2078113, ctl,  0, 67, 73,    
   30,  0,         4,       802,   2088529, ctl,  0, 67, 57,    
   31,  0,         4,       806,   2098945, ctl,  0, 67, 43,    
   32,  0,         4,       810,   2109361, ctl,  0, 67, 32,    
   33,  0,         4,       814,   2119777, ctl,  0, 67, 24,    
