dev,port,microsec,id,sec,ch,status,sci_pitch,d0,d1
  0,  0,       0,  0,  0.0000, 0,0xb0,     , 64,  2
  0,  0,    9966,  1,  0.0100, 0,0xb0,     , 64,  0
  0,  0,   69952,  2,  0.0700, 0,0xb0,     , 64,  2
  0,  0,   79990,  3,  0.0800, 0,0xb0,     , 64,  3
  0,  0,  109957,  4,  0.1100, 0,0xb0,     , 64,  4
  0,  0,  119958,  5,  0.1200, 0,0xb0,     , 64,  3
  0,  0,  139958,  6,  0.1400, 0,0xb0,     , 64,  2
  0,  0,  169957,  7,  0.1700, 0,0xb0,     , 64,  3
  0,  0,  189956,  8,  0.1900, 0,0xb0,     , 64,  4
  0,  0,  199995,  9,  0.2000, 0,0xb0,     , 64,  5
  0,  0,  249968, 10,  0.2500, 0,0xb0,     , 64,  4
  0,  0,  299980, 11,  0.3000, 0,0xb0,     , 64,  5
  0,  0,  309962, 12,  0.3100, 0,0xb0,     , 64,  4
  0,  0,  319971, 13,  0.3200, 0,0xb0,     , 64,  5
  0,  0,  349968, 14,  0.3500, 0,0xb0,     , 64,  4
  0,  0,  380004, 15,  0.3800, 0,0xb0,     , 64,  3
  0,  0,  410973, 16,  0.4110, 0,0xb0,     , 64,  4
  0,  0,  440005, 17,  0.4400, 0,0xb0,     , 64,  5
  0,  0,  470135, 18,  0.4701, 0,0xb0,     , 64,  4
  0,  0,  489968, 19,  0.4900, 0,0xb0,     , 64,  3
  0,  0,  499989, 20,  0.5000, 0,0xb0,     , 64,  2
  0,  0,  510007, 21,  0.5100, 0,0xb0,     , 64,  0
  0,  0,  520023, 22,  0.5200, 0,0xb0,     , 64,  2
  0,  0,  549970, 23,  0.5500, 0,0xb0,     , 64,  3
  0,  0,  559993, 24,  0.5600, 0,0xb0,     , 64,  2
  0,  0,  569970, 25,  0.5700, 0,0xb0,     , 64,  0
  0,  0, 1030083, 26,  1.0301, 0,0xb0,     , 64,  2
  0,  0, 1040030, 27,  1.0400, 0,0xb0,     , 64,  0
  0,  0, 1360096, 28,  1.3601, 0,0xb0,     , 64,  2
  0,  0, 1410029, 29,  1.4100, 0,0xb0,     , 64,  0
  0,  0, 1470010, 30,  1.4700, 0,0xb0,     , 64,  3
  0,  0, 1520049, 31,  1.5200, 0,0xb0,     , 64,  2
  0,  0, 1530049, 32,  1.5300, 0,0xb0,     , 64,  3
  0,  0, 1580053, 33,  1.5801, 0,0xb0,     , 64,  4
  0,  0, 1610054, 34,  1.6101, 0,0xb0,     , 64,  5
  0,  0, 1620053, 35,  1.6201, 0,0xb0,     , 64,  4
  0,  0, 1630014, 36,  1.6300, 0,0xb0,     , 64,  3
  0,  0, 1640035, 37,  1.6400, 0,0xb0,     , 64,  4
  0,  0, 1650053, 38,  1.6501, 0,0xb0,     , 64,  3
  0,  0, 1680103, 39,  1.6801, 0,0xb0,     , 64,  4
  0,  0, 1690054, 40,  1.6901, 0,0xb0,     , 64,  3
  0,  0, 1700038, 41,  1.7000, 0,0xb0,     , 64,  4
  0,  0, 1710020, 42,  1.7100, 0,0xb0,     , 64,  3
  0,  0, 1720042, 43,  1.7200, 0,0xb0,     , 64,  4
  0,  0, 1760061, 44,  1.7601, 0,0xb0,     , 64,  3
  0,  0, 1810049, 45,  1.8100, 0,0xb0,     , 64,  4
  0,  0, 1850110, 46,  1.8501, 0,0xb0,     , 64,  5
  0,  0, 1860067, 47,  1.8601, 0,0xb0,     , 64,  4
  0,  0, 1880070, 48,  1.8801, 0,0xb0,     , 64,  3
  0,  0, 1950123, 49,  1.9501, 0,0xb0,     , 64,  4
  0,  0, 2070077, 50,  2.0701, 0,0xb0,     , 64,  5
  0,  0, 2090115, 51,  2.0901, 0,0xb0,     , 64,  4
  0,  0, 2180081, 52,  2.1801, 0,0xb0,     , 64,  5
  0,  0, 2350134, 53,  2.3501, 0,0xb0,     , 64,  4
  0,  0, 2360132, 54,  2.3601, 0,0xb0,     , 64,  5
  0,  0, 2370084, 55,  2.3701, 0,0xb0,     , 64,  4
  0,  0, 2380083, 56,  2.3801, 0,0xb0,     , 64,  5
  0,  0, 2500059, 57,  2.5001, 0,0xb0,     , 64,  4
  0,  0, 2530055, 58,  2.5301, 0,0xb0,     , 64,  5
  0,  0, 2630146, 59,  2.6301, 0,0xb0,     , 64,  4
  0,  0, 2640184, 60,  2.6402, 0,0xb0,     , 64,  5
  0,  0, 2720065, 61,  2.7201, 0,0xb0,     , 64,  4
  0,  0, 2730060, 62,  2.7301, 0,0xb0,     , 64,  5
  0,  0, 2810075, 63,  2.8101, 0,0xb0,     , 64,  4
  0,  0, 2860106, 64,  2.8601, 0,0xb0,     , 64,  5
  0,  0, 2870107, 65,  2.8701, 0,0xb0,     , 64,  4
  0,  0, 2880104, 66,  2.8801, 0,0xb0,     , 64,  5
  0,  0, 2940043, 67,  2.9400, 0,0xb0,     , 64,  4
  0,  0, 2960109, 68,  2.9601, 0,0xb0,     , 64,  3
  0,  0, 2970114, 69,  2.9701, 0,0xb0,     , 64,  4
  0,  0, 2990109, 70,  2.9901, 0,0xb0,     , 64,  5
  0,  0, 3030119, 71,  3.0301, 0,0xb0,     , 64,  4
  0,  0, 3050118, 72,  3.0501, 0,0xb0,     , 64,  3
  0,  0, 3070119, 73,  3.0701, 0,0xb0,     , 64,  0
  0,  0, 3080111, 74,  3.0801, 0,0xb0,     , 64,  2
  0,  0, 3090116, 75,  3.0901, 0,0xb0,     , 64,  0
  0,  0, 4855254, 76,  4.8553, 0,0x90,   B4, 71, 54
  0,  0, 4869194, 77,  4.8692, 0,0x90,  A#4, 70, 39
  0,  0, 4938232, 78,  4.9382, 0,0x80,     , 70,  0
  0,  0, 4968238, 79,  4.9682, 0,0x90,  F#2, 42, 19
  0,  0, 5048241, 80,  5.0482, 0,0x80,     , 42,  0
  0,  0, 5520263, 81,  5.5203, 0,0xb0,     , 64,  2
  0,  0, 5530259, 82,  5.5303, 0,0xb0,     , 64,  3
  0,  0, 5540265, 83,  5.5403, 0,0xb0,     , 64,  4
  0,  0, 5580261, 84,  5.5803, 0,0xb0,     , 64,  3
  0,  0, 5610263, 85,  5.6103, 0,0xb0,     , 64,  2
  0,  0, 5630279, 86,  5.6303, 0,0xb0,     , 64,  0
  0,  0, 5640263, 87,  5.6403, 0,0xb0,     , 64,  2
  0,  0, 5660263, 88,  5.6603, 0,0xb0,     , 64,  3
  0,  0, 5700263, 89,  5.7003, 0,0xb0,     , 64,  2
  0,  0, 5710265, 90,  5.7103, 0,0xb0,     , 64,  3
  0,  0, 5720266, 91,  5.7203, 0,0xb0,     , 64,  2
  0,  0, 5730266, 92,  5.7303, 0,0xb0,     , 64,  0
  0,  0, 5750267, 93,  5.7503, 0,0xb0,     , 64,  2
  0,  0, 5780267, 94,  5.7803, 0,0xb0,     , 64,  3
  0,  0, 5850280, 95,  5.8503, 0,0xb0,     , 64,  2
  0,  0, 5860272, 96,  5.8603, 0,0xb0,     , 64,  3
  0,  0, 5870276, 97,  5.8703, 0,0xb0,     , 64,  2
  0,  0, 5900274, 98,  5.9003, 0,0xb0,     , 64,  3
  0,  0, 5910272, 99,  5.9103, 0,0xb0,     , 64,  2
  0,  0, 5920276,100,  5.9203, 0,0xb0,     , 64,  3
  0,  0, 5970231,101,  5.9702, 0,0xb0,     , 64,  2
  0,  0, 6010230,102,  6.0102, 0,0xb0,     , 64,  3
  0,  0, 6030284,103,  6.0303, 0,0xb0,     , 64,  4
  0,  0, 6040232,104,  6.0402, 0,0xb0,     , 64,  3
  0,  0, 6071199,105,  6.0712, 0,0xb0,     , 64,  2
  0,  0, 6100285,106,  6.1003, 0,0xb0,     , 64,  3
  0,  0, 6120283,107,  6.1203, 0,0xb0,     , 64,  4
  0,  0, 6160289,108,  6.1603, 0,0xb0,     , 64,  3
  0,  0, 6180239,109,  6.1802, 0,0xb0,     , 64,  2
  0,  0, 6210302,110,  6.2103, 0,0xb0,     , 64,  3
  0,  0, 6220241,111,  6.2202, 0,0xb0,     , 64,  2
  0,  0, 6230238,112,  6.2302, 0,0xb0,     , 64,  3
  0,  0, 6280310,113,  6.2803, 0,0xb0,     , 64,  2
  0,  0, 6310244,114,  6.3102, 0,0xb0,     , 64,  0
  0,  0, 6330207,115,  6.3302, 0,0xb0,     , 64,  2
  0,  0, 6350337,116,  6.3503, 0,0xb0,     , 64,  3
  0,  0, 6370336,117,  6.3703, 0,0xb0,     , 64,  4
  0,  0, 6390296,118,  6.3903, 0,0xb0,     , 64,  3
  0,  0, 6420459,119,  6.4205, 0,0xb0,     , 64,  0
  0,  0, 6430469,120,  6.4305, 0,0xb0,     , 64,  2
