dev,port,microsec,id,sec,ch,status,sci_pitch,d0,d1
  3,  0,       0,  0,  0.0000, 0,0xb0,     , 64,125
  3,  0,  270011,  1,  0.2700, 0,0xb0,     , 64,124
  3,  0,  330102,  2,  0.3301, 0,0xb0,     , 64,125
  3,  0,  340051,  3,  0.3401, 0,0xb0,     , 64,124
  3,  0,  350171,  4,  0.3502, 0,0xb0,     , 64,125
  3,  0,  380028,  5,  0.3800, 0,0xb0,     , 64,124
  3,  0,  390011,  6,  0.3900, 0,0xb0,     , 64,125
  3,  0,  460065,  7,  0.4601, 0,0xb0,     , 64,127
  3,  0,  470053,  8,  0.4701, 0,0xb0,     , 64,125
  3,  0,  481057,  9,  0.4811, 0,0xb0,     , 64,127
  3,  0,  489986, 10,  0.4900, 0,0xb0,     , 64,125
  3,  0,  499983, 11,  0.5000, 0,0xb0,     , 64,127
  3,  0,  510058, 12,  0.5101, 0,0xb0,     , 64,125
  3,  0,  520058, 13,  0.5201, 0,0xb0,     , 64,127
  3,  0,  530056, 14,  0.5301, 0,0xb0,     , 64,125
  3,  0,  540056, 15,  0.5401, 0,0xb0,     , 64,127
  3,  0,  550059, 16,  0.5501, 0,0xb0,     , 64,125
  3,  0,  580111, 17,  0.5801, 0,0xb0,     , 64,124
  3,  0,  590061, 18,  0.5901, 0,0xb0,     , 64,125
  3,  0,  720116, 19,  0.7201, 0,0xb0,     , 64,127
  3,  0,  730062, 20,  0.7301, 0,0xb0,     , 64,125
  3,  0,  740105, 21,  0.7401, 0,0xb0,     , 64,127
  3,  0,  750065, 22,  0.7501, 0,0xb0,     , 64,125
  3,  0,  770086, 23,  0.7701, 0,0xb0,     , 64,124
  3,  0,  790071, 24,  0.7901, 0,0xb0,     , 64,125
  3,  0,  850123, 25,  0.8501, 0,0xb0,     , 64,127
  3,  0,  860154, 26,  0.8602, 0,0xb0,     , 64,125
  3,  0,  900079, 27,  0.9001, 0,0xb0,     , 64,124
  3,  0,  920122, 28,  0.9201, 0,0xb0,     , 64,125
  3,  0,  930075, 29,  0.9301, 0,0xb0,     , 64,124
  3,  0,  940111, 30,  0.9401, 0,0xb0,     , 64,125
  3,  0,  960072, 31,  0.9601, 0,0xb0,     , 64,127
  3,  0,  970121, 32,  0.9701, 0,0xb0,     , 64,125
  3,  0,  980076, 33,  0.9801, 0,0xb0,     , 64,127
  3,  0, 1010117, 34,  1.0101, 0,0xb0,     , 64,125
  3,  0, 1050118, 35,  1.0501, 0,0xb0,     , 64,127
  3,  0, 1060081, 36,  1.0601, 0,0xb0,     , 64,125
  3,  0, 1070076, 37,  1.0701, 0,0xb0,     , 64,127
  3,  0, 1080079, 38,  1.0801, 0,0xb0,     , 64,125
  3,  0, 1090085, 39,  1.0901, 0,0xb0,     , 64,127
  3,  0, 1100078, 40,  1.1001, 0,0xb0,     , 64,125
  3,  0, 1120083, 41,  1.1201, 0,0xb0,     , 64,124
  3,  0, 1160134, 42,  1.1601, 0,0xb0,     , 64,125
  3,  0, 1220134, 43,  1.2201, 0,0xb0,     , 64,127
  3,  0, 1230088, 44,  1.2301, 0,0xb0,     , 64,125
  3,  0, 1320137, 45,  1.3201, 0,0xb0,     , 64,124
  3,  0, 1380094, 46,  1.3801, 0,0xb0,     , 64,125
  3,  0, 1390096, 47,  1.3901, 0,0xb0,     , 64,124
  3,  0, 1400089, 48,  1.4001, 0,0xb0,     , 64,125
  3,  0, 1410143, 49,  1.4101, 0,0xb0,     , 64,124
  3,  0, 1420102, 50,  1.4201, 0,0xb0,     , 64,125
  3,  0, 1460162, 51,  1.4602, 0,0xb0,     , 64,127
  3,  0, 1470143, 52,  1.4701, 0,0xb0,     , 64,125
  3,  0, 1550170, 53,  1.5502, 0,0xb0,     , 64,127
  3,  0, 1560148, 54,  1.5601, 0,0xb0,     , 64,125
  3,  0, 1610171, 55,  1.6102, 0,0xb0,     , 64,124
  3,  0, 1620172, 56,  1.6202, 0,0xb0,     , 64,125
  3,  0, 1640159, 57,  1.6402, 0,0xb0,     , 64,127
  3,  0, 1670172, 58,  1.6702, 0,0xb0,     , 64,125
  3,  0, 1680103, 59,  1.6801, 0,0x90,   C7, 96, 19
  3,  0, 1698128, 60,  1.6981, 0,0x90,   A6, 93, 23
  3,  0, 1730177, 61,  1.7302, 0,0xb0,     , 64,127
  3,  0, 1740133, 62,  1.7401, 0,0xb0,     , 64,125
  3,  0, 1750115, 63,  1.7501, 0,0xb0,     , 64,127
  3,  0, 1760116, 64,  1.7601, 0,0xb0,     , 64,125
  3,  0, 1770567, 65,  1.7706, 0,0xb0,     , 64,127
  3,  0, 1780110, 66,  1.7801, 0,0xb0,     , 64,124
  3,  0, 1806671, 67,  1.8067, 0,0x90,   E7,100, 38
  3,  0, 1807660, 68,  1.8077, 0,0x80,     , 93,  0
  3,  0, 1812109, 69,  1.8121, 0,0x90,   G6, 91, 38
  3,  0, 1822111, 70,  1.8221, 0,0x90,  D#4, 63, 50
  3,  0, 1828105, 71,  1.8281, 0,0x80,     , 96,  0
