dev,port,microsec,id,sec,ch,status,sci_pitch,d0,d1
  0,  0,       0,  0,  0.0000, 0,0xb0,     , 64, 47
  0,  0,    9924,  1,  0.0099, 0,0xb0,     , 64, 48
  0,  0,  220139,  2,  0.2201, 0,0xb0,     , 64, 47
  0,  0,  229891,  3,  0.2299, 0,0xb0,     , 64, 48
  0,  0,  239986,  4,  0.2400, 0,0xb0,     , 64, 47
  0,  0,  259943,  5,  0.2599, 0,0xb0,     , 64, 48
  0,  0,  379834,  6,  0.3798, 0,0xb0,     , 67, 21
  0,  0,  389821,  7,  0.3898, 0,0xb0,     , 67, 22
  0,  0,  570016,  8,  0.5700, 0,0xb0,     , 64, 47
  0,  0,  619981,  9,  0.6200, 0,0xb0,     , 64, 48
  0,  0,  719945, 10,  0.7199, 0,0xb0,     , 64, 47
  0,  0,  729988, 11,  0.7300, 0,0xb0,     , 64, 48
  0,  0, 1029985, 12,  1.0300, 0,0xb0,     , 64, 47
  0,  0, 1049996, 13,  1.0500, 0,0xb0,     , 64, 48
  0,  0, 1299971, 14,  1.3000, 0,0xb0,     , 64, 47
  0,  0, 1330024, 15,  1.3300, 0,0xb0,     , 64, 48
  0,  0, 1460032, 16,  1.4600, 0,0xb0,     , 67, 21
  0,  0, 1469975, 17,  1.4700, 0,0xb0,     , 67, 22
  0,  0, 1530028, 18,  1.5300, 0,0xb0,     , 64, 47
  0,  0, 1540022, 19,  1.5400, 0,0xb0,     , 64, 48
  0,  0, 2229974, 20,  2.2300, 0,0xb0,     , 67, 21
  0,  0, 2240028, 21,  2.2400, 0,0xb0,     , 67, 22
  0,  0, 2260064, 22,  2.2601, 0,0xb0,     , 67, 21
  0,  0, 2270036, 23,  2.2700, 0,0xb0,     , 67, 22
  0,  0, 2340021, 24,  2.3400, 0,0xb0,     , 64, 47
  0,  0, 2350037, 25,  2.3500, 0,0xb0,     , 64, 48
  0,  0, 2429949, 26,  2.4299, 0,0xb0,     , 64, 47
  0,  0, 2439986, 27,  2.4400, 0,0xb0,     , 64, 48
  0,  0, 2620038, 28,  2.6200, 0,0xb0,     , 64, 47
  0,  0, 2680057, 29,  2.6801, 0,0xb0,     , 64, 48
  0,  0, 2800032, 30,  2.8000, 0,0xb0,     , 64, 47
  0,  0, 2810081, 31,  2.8101, 0,0xb0,     , 64, 48
  0,  0, 2869992, 32,  2.8700, 0,0xb0,     , 64, 47
  0,  0, 2920030, 33,  2.9200, 0,0xb0,     , 64, 48
  0,  0, 3500078, 34,  3.5001, 0,0xb0,     , 67, 21
  0,  0, 3550102, 35,  3.5501, 0,0xb0,     , 67, 22
  0,  0, 3609971, 36,  3.6100, 0,0xb0,     , 67, 23
  0,  0, 3630020, 37,  3.6300, 0,0xb0,     , 67, 22
  0,  0, 3650036, 38,  3.6500, 0,0xb0,     , 67, 21
  0,  0, 3699987, 39,  3.7000, 0,0xb0,     , 67, 22
  0,  0, 3759950, 40,  3.7599, 0,0xb0,     , 67, 21
  0,  0, 3790023, 41,  3.7900, 0,0xb0,     , 67, 22
  0,  0, 4050117, 42,  4.0501, 0,0xb0,     , 64, 47
  0,  0, 4060106, 43,  4.0601, 0,0xb0,     , 64, 48
  0,  0, 4280162, 44,  4.2802, 0,0xb0,     , 67, 21
  0,  0, 4350105, 45,  4.3501, 0,0xb0,     , 67, 22
  0,  0, 4620245, 46,  4.6202, 0,0xb0,     , 64, 47
  0,  0, 4660160, 47,  4.6602, 0,0xb0,     , 64, 48
  0,  0, 5050172, 48,  5.0502, 0,0xb0,     , 67, 21
  0,  0, 5070205, 49,  5.0702, 0,0xb0,     , 67, 22
  0,  0, 5100069, 50,  5.1001, 0,0xb0,     , 64, 47
  0,  0, 5110551, 51,  5.1106, 0,0xb0,     , 64, 48
  0,  0, 5120034, 52,  5.1200, 0,0xb0,     , 64, 47
  0,  0, 5130030, 53,  5.1300, 0,0xb0,     , 64, 48
  0,  0, 5162731, 54,  5.1627, 0,0xb0,     , 67, 21
  0,  0, 5170214, 55,  5.1702, 0,0xb0,     , 67, 22
  0,  0, 5190069, 56,  5.1901, 0,0xb0,     , 67, 21
  0,  0, 5210091, 57,  5.2101, 0,0xb0,     , 67, 22
  0,  0, 5450120, 58,  5.4501, 0,0xb0,     , 64, 47
  0,  0, 5480119, 59,  5.4801, 0,0xb0,     , 64, 48
  0,  0, 5510069, 60,  5.5101, 0,0xb0,     , 67, 21
  0,  0, 5520066, 61,  5.5201, 0,0xb0,     , 67, 22
  0,  0, 5870059, 62,  5.8701, 0,0xb0,     , 67, 23
  0,  0, 5880105, 63,  5.8801, 0,0xb0,     , 67, 22
  0,  0, 5910197, 64,  5.9102, 0,0xb0,     , 64, 47
  0,  0, 5920185, 65,  5.9202, 0,0xb0,     , 64, 48
  0,  0, 6040151, 66,  6.0402, 0,0xb0,     , 64, 47
  0,  0, 6050105, 67,  6.0501, 0,0xb0,     , 64, 48
  0,  0, 6060088, 68,  6.0601, 0,0xb0,     , 64, 47
  0,  0, 6070077, 69,  6.0701, 0,0xb0,     , 64, 48
  0,  0, 6090166, 70,  6.0902, 0,0xb0,     , 67, 23
  0,  0, 6110248, 71,  6.1102, 0,0xb0,     , 67, 22
  0,  0, 6130111, 72,  6.1301, 0,0xb0,     , 67, 23
  0,  0, 6140119, 73,  6.1401, 0,0xb0,     , 67, 22
  0,  0, 6260273, 74,  6.2603, 0,0xb0,     , 64, 47
  0,  0, 6271260, 75,  6.2713, 0,0xb0,     , 64, 48
  0,  0, 6780183, 76,  6.7802, 0,0xb0,     , 67, 21
  0,  0, 6830268, 77,  6.8303, 0,0xb0,     , 67, 22
  0,  0, 6980209, 78,  6.9802, 0,0xb0,     , 64, 47
  0,  0, 6990381, 79,  6.9904, 0,0xb0,     , 64, 48
  0,  0, 7000228, 80,  7.0002, 0,0xb0,     , 64, 47
  0,  0, 7010219, 81,  7.0102, 0,0xb0,     , 64, 48
  0,  0, 7020167, 82,  7.0202, 0,0xb0,     , 64, 47
  0,  0, 7030267, 83,  7.0303, 0,0xb0,     , 64, 48
  0,  0, 7130160, 84,  7.1302, 0,0xb0,     , 67, 21
  0,  0, 7140161, 85,  7.1402, 0,0xb0,     , 67, 22
  0,  0, 7310201, 86,  7.3102, 0,0xb0,     , 64, 47
  0,  0, 7320291, 87,  7.3203, 0,0xb0,     , 64, 48
  0,  0, 7330462, 88,  7.3305, 0,0xb0,     , 64, 47
  0,  0, 7340280, 89,  7.3403, 0,0xb0,     , 64, 48
  0,  0, 7380459, 90,  7.3805, 0,0xb0,     , 67, 23
  0,  0, 7390457, 91,  7.3905, 0,0xb0,     , 67, 22
  0,  0, 7460300, 92,  7.4603, 0,0xb0,     , 67, 21
  0,  0, 7490382, 93,  7.4904, 0,0xb0,     , 67, 22
  0,  0, 7550238, 94,  7.5502, 0,0xb0,     , 64, 47
