dev,port,microsec,id,sec,ch,status,sci_pitch,d0,d1
  0,  0,       0,  0,  0.0000, 0,0xb0,     , 67, 18
  0,  0,   10034,  1,  0.0100, 0,0xb0,     , 67, 20
  0,  0,   20123,  2,  0.0201, 0,0xb0,     , 67, 19
  0,  0,   30029,  3,  0.0300, 0,0xb0,     , 67, 20
  0,  0,   50094,  4,  0.0501, 0,0xb0,     , 67, 21
  0,  0,   70172,  5,  0.0702, 0,0xb0,     , 64, 51
  0,  0,   71097,  6,  0.0711, 0,0xb0,     , 67, 20
  0,  0,   90213,  7,  0.0902, 0,0xb0,     , 64, 52
  0,  0,   91232,  8,  0.0912, 0,0xb0,     , 67, 19
  0,  0,  100242,  9,  0.1002, 0,0xb0,     , 64, 53
  0,  0,  101180, 10,  0.1012, 0,0xb0,     , 67, 20
  0,  0,  110172, 11,  0.1102, 0,0xb0,     , 64, 54
  0,  0,  111213, 12,  0.1112, 0,0xb0,     , 67, 19
  0,  0,  120117, 13,  0.1201, 0,0xb0,     , 67, 20
  0,  0,  130151, 14,  0.1302, 0,0xb0,     , 67, 19
  0,  0,  140042, 15,  0.1400, 0,0xb0,     , 67, 20
  0,  0,  150017, 16,  0.1500, 0,0xb0,     , 67, 19
  0,  0,  170056, 17,  0.1701, 0,0xb0,     , 64, 55
  0,  0,  190039, 18,  0.1900, 0,0xb0,     , 64, 56
  0,  0,  200024, 19,  0.2000, 0,0xb0,     , 64, 57
  0,  0,  210238, 20,  0.2102, 0,0xb0,     , 64, 58
  0,  0,  220241, 21,  0.2202, 0,0xb0,     , 64, 59
  0,  0,  230184, 22,  0.2302, 0,0xb0,     , 64, 60
  0,  0,  240065, 23,  0.2401, 0,0xb0,     , 67, 18
  0,  0,  250090, 24,  0.2501, 0,0xb0,     , 67, 19
  0,  0,  290139, 25,  0.2901, 0,0xb0,     , 67, 20
  0,  0,  330131, 26,  0.3301, 0,0xb0,     , 67, 19
  0,  0,  351043, 27,  0.3510, 0,0xb0,     , 64, 61
  0,  0,  351996, 28,  0.3520, 0,0xb0,     , 67, 18
  0,  0,  360047, 29,  0.3600, 0,0xb0,     , 67, 19
  0,  0,  380129, 30,  0.3801, 0,0xb0,     , 67, 20
  0,  0,  390394, 31,  0.3904, 0,0xb0,     , 64, 60
  0,  0,  410318, 32,  0.4103, 0,0xb0,     , 67, 21
  0,  0,  420239, 33,  0.4202, 0,0xb0,     , 67, 20
  0,  0,  450080, 34,  0.4501, 0,0xb0,     , 67, 19
  0,  0,  460063, 35,  0.4601, 0,0xb0,     , 67, 18
  0,  0,  470048, 36,  0.4700, 0,0xb0,     , 67, 19
  0,  0,  490167, 37,  0.4902, 0,0xb0,     , 67, 20
  0,  0,  510070, 38,  0.5101, 0,0xb0,     , 64, 61
  0,  0,  520112, 39,  0.5201, 0,0xb0,     , 64, 60
  0,  0,  521086, 40,  0.5211, 0,0xb0,     , 67, 19
  0,  0,  530125, 41,  0.5301, 0,0xb0,     , 67, 18
  0,  0,  540147, 42,  0.5401, 0,0xb0,     , 64, 59
  0,  0,  560077, 43,  0.5601, 0,0xb0,     , 67, 19
  0,  0,  570061, 44,  0.5701, 0,0xb0,     , 64, 60
  0,  0,  571034, 45,  0.5710, 0,0xb0,     , 67, 18
  0,  0,  580051, 46,  0.5800, 0,0xb0,     , 64, 59
  0,  0,  580986, 47,  0.5810, 0,0xb0,     , 67, 19
  0,  0,  590047, 48,  0.5900, 0,0xb0,     , 67, 18
  0,  0,  600117, 49,  0.6001, 0,0xb0,     , 64, 60
  0,  0,  601060, 50,  0.6011, 0,0xb0,     , 67, 19
  0,  0,  610326, 51,  0.6103, 0,0xb0,     , 64, 59
  0,  0,  620215, 52,  0.6202, 0,0xb0,     , 67, 20
  0,  0,  640314, 53,  0.6403, 0,0xb0,     , 64, 60
  0,  0,  650176, 54,  0.6502, 0,0xb0,     , 64, 59
  0,  0,  660236, 55,  0.6602, 0,0xb0,     , 67, 19
  0,  0,  680329, 56,  0.6803, 0,0xb0,     , 64, 58
  0,  0,  700323, 57,  0.7003, 0,0xb0,     , 67, 18
  0,  0,  710200, 58,  0.7102, 0,0xb0,     , 64, 57
  0,  0,  711137, 59,  0.7111, 0,0xb0,     , 67, 19
  0,  0,  760103, 60,  0.7601, 0,0xb0,     , 67, 20
  0,  0,  860456, 61,  0.8605, 0,0xb0,     , 67, 21
  0,  0,  870235, 62,  0.8702, 0,0xb0,     , 67, 20
  0,  0,  880199, 63,  0.8802, 0,0xb0,     , 64, 56
  0,  0,  900324, 64,  0.9003, 0,0xb0,     , 67, 19
  0,  0,  920206, 65,  0.9202, 0,0xb0,     , 64, 55
  0,  0,  921175, 66,  0.9212, 0,0xb0,     , 67, 18
  0,  0,  928314, 67,  0.9283, 0,0x90,  G#4, 68, 92
  0,  0,  930120, 68,  0.9301, 0,0xb0,     , 67, 19
  0,  0,  939237, 69,  0.9392, 0,0x90,   B1, 35, 42
