UID,trk,dtick,atick,amicro,type,ch,D0,D1,sci_pitch
    0,  0,         0,         0,         0,tempo,120,bpm,,    
    1,  0,         0,         0,         0, ctl,  0, 67, 18,    
    2,  0,         3,         3,      7812, ctl,  0, 67, 20,    
    3,  0,         4,         7,     18228, ctl,  0, 67, 19,    
    4,  0,         4,        11,     28644, ctl,  0, 67, 20,    
    5,  0,         8,        19,     49477, ctl,  0, 67, 21,    
    6,  0,         7,        26,     67706, ctl,  0, 64, 51,    
    7,  0,         1,        27,     70310, ctl,  0, 67, 20,    
    8,  0,         7,        34,     88539, ctl,  0, 64, 52,    
    9,  0,         1,        35,     91143, ctl,  0, 67, 19,    
   10,  0,         3,        38,     98955, ctl,  0, 64, 53,    
   11,  0,         0,        38,     98955, ctl,  0, 67, 20,    
   12,  0,         4,        42,    109371, ctl,  0, 64, 54,    
   13,  0,         0,        42,    109371, ctl,  0, 67, 19,    
   14,  0,         4,        46,    119787, ctl,  0, 67, 20,    
   15,  0,         3,        49,    127599, ctl,  0, 67, 19,    
   16,  0,         4,        53,    138015, ctl,  0, 67, 20,    
   17,  0,         4,        57,    148431, ctl,  0, 67, 19,    
   18,  0,         8,        65,    169264, ctl,  0, 64, 55,    
   19,  0,         7,        72,    187493, ctl,  0, 64, 56,    
   20,  0,         4,        76,    197909, ctl,  0, 64, 57,    
   21,  0,         4,        80,    208325, ctl,  0, 64, 58,    
   22,  0,         4,        84,    218741, ctl,  0, 64, 59,    
   23,  0,         4,        88,    229157, ctl,  0, 64, 60,    
   24,  0,         4,        92,    239573, ctl,  0, 67, 18,    
   25,  0,         4,        96,    249989, ctl,  0, 67, 19,    
   26,  0,        15,       111,    289051, ctl,  0, 67, 20,    
   27,  0,        15,       126,    328113, ctl,  0, 67, 19,    
   28,  0,         8,       134,    348946, ctl,  0, 64, 61,    
   29,  0,         1,       135,    351550, ctl,  0, 67, 18,    
   30,  0,         3,       138,    359362, ctl,  0, 67, 19,    
   31,  0,         7,       145,    377591, ctl,  0, 67, 20,    
   32,  0,         4,       149,    388007, ctl,  0, 64, 60,    
   33,  0,         8,       157,    408840, ctl,  0, 67, 21,    
   34,  0,         4,       161,    419256, ctl,  0, 67, 20,    
   35,  0,        11,       172,    447901, ctl,  0, 67, 19,    
   36,  0,         4,       176,    458317, ctl,  0, 67, 18,    
   37,  0,         4,       180,    468733, ctl,  0, 67, 19,    
   38,  0,         8,       188,    489566, ctl,  0, 67, 20,    
   39,  0,         7,       195,    507795, ctl,  0, 64, 61,    
   40,  0,         4,       199,    518211, ctl,  0, 64, 60,    
   41,  0,         1,       200,    520815, ctl,  0, 67, 19,    
   42,  0,         3,       203,    528627, ctl,  0, 67, 18,    
   43,  0,         4,       207,    539043, ctl,  0, 64, 59,    
   44,  0,         8,       215,    559876, ctl,  0, 67, 19,    
   45,  0,         3,       218,    567688, ctl,  0, 64, 60,    
   46,  0,         1,       219,    570292, ctl,  0, 67, 18,    
   47,  0,         3,       222,    578104, ctl,  0, 64, 59,    
   48,  0,         1,       223,    580708, ctl,  0, 67, 19,    
   49,  0,         3,       226,    588520, ctl,  0, 67, 18,    
   50,  0,         4,       230,    598936, ctl,  0, 64, 60,    
   51,  0,         0,       230,    598936, ctl,  0, 67, 19,    
   52,  0,         4,       234,    609352, ctl,  0, 64, 59,    
   53,  0,         4,       238,    619768, ctl,  0, 67, 20,    
   54,  0,         7,       245,    637997, ctl,  0, 64, 60,    
   55,  0,         4,       249,    648413, ctl,  0, 64, 59,    
   56,  0,         4,       253,    658829, ctl,  0, 67, 19,    
   57,  0,         8,       261,    679662, ctl,  0, 64, 58,    
   58,  0,         7,       268,    697891, ctl,  0, 67, 18,    
   59,  0,         4,       272,    708307, ctl,  0, 64, 57,    
   60,  0,         1,       273,    710911, ctl,  0, 67, 19,    
   61,  0,        18,       291,    757786, ctl,  0, 67, 20,    
   62,  0,        39,       330,    859348, ctl,  0, 67, 21,    
   63,  0,         4,       334,    869764, ctl,  0, 67, 20,    
   64,  0,         3,       337,    877576, ctl,  0, 64, 56,    
   65,  0,         8,       345,    898409, ctl,  0, 67, 19,    
   66,  0,         8,       353,    919242, ctl,  0, 64, 55,    
   67,  0,         0,       353,    919242, ctl,  0, 67, 18,    
   68,  0,         3,       356,    927054, non,  0, 68, 92, G#4
   69,  0,         1,       357,    929658, ctl,  0, 67, 19,    
   70,  0,         3,       360,    937470, non,  0, 35, 42,  B1
   71,  0,         1,       361,    940074, ctl,  0, 64, 54,    
   72,  0,         0,       361,    940074, ctl,  0, 67, 18,    
   73,  0,         3,       364,    947886, ctl,  0, 67, 19,    
   74,  0,         4,       368,    958302, ctl,  0, 67, 18,    
   75,  0,         4,       372,    968718, ctl,  0, 67, 19,    
   76,  0,         4,       376,    979134, ctl,  0, 67, 20,    
   77,  0,        11,       387,   1007779, ctl,  0, 67, 19,    
   78,  0,         2,       389,   1012987, nof,  0, 35,  0,    
   79,  0,        18,       407,   1059862, ctl,  0, 67, 20,    
