dev,port,microsec,id,sec,ch,status,sci_pitch,d0,d1
  0,  0,       0,  0,  0.0000, 0,0xb0,     , 67, 25
  0,  0,   10001,  1,  0.0100, 0,0xb0,     , 64, 11
  0,  0,   11013,  2,  0.0110, 0,0xb0,     , 67, 24
  0,  0,   20010,  3,  0.0200, 0,0xb0,     , 64, 12
  0,  0,   21013,  4,  0.0210, 0,0xb0,     , 67, 25
  0,  0,   30019,  5,  0.0300, 0,0xb0,     , 64, 11
  0,  0,   31012,  6,  0.0310, 0,0xb0,     , 67, 27
  0,  0,   40027,  7,  0.0400, 0,0xb0,     , 67, 25
  0,  0,   50019,  8,  0.0500, 0,0xb0,     , 67, 26
  0,  0,   60000,  9,  0.0600, 0,0xb0,     , 64, 12
  0,  0,   60999, 10,  0.0610, 0,0xb0,     , 67, 24
  0,  0,   70012, 11,  0.0700, 0,0xb0,     , 64, 11
  0,  0,   70975, 12,  0.0710, 0,0xb0,     , 67, 26
  0,  0,   80007, 13,  0.0800, 0,0xb0,     , 64, 12
  0,  0,   81003, 14,  0.0810, 0,0xb0,     , 67, 24
  0,  0,   89991, 15,  0.0900, 0,0xb0,     , 67, 26
  0,  0,   99996, 16,  0.1000, 0,0xb0,     , 67, 25
  0,  0,  110006, 17,  0.1100, 0,0xb0,     , 67, 26
  0,  0,  119992, 18,  0.1200, 0,0xb0,     , 67, 27
  0,  0,  130011, 19,  0.1300, 0,0xb0,     , 67, 26
  0,  0,  150009, 20,  0.1500, 0,0xb0,     , 67, 25
  0,  0,  152009, 21,  0.1520, 0,0x90,  F#5, 78, 35
  0,  0,  159985, 22,  0.1600, 0,0xb0,     , 67, 27
  0,  0,  170013, 23,  0.1700, 0,0xb0,     , 67, 26
  0,  0,  179986, 24,  0.1800, 0,0xb0,     , 67, 27
  0,  0,  190007, 25,  0.1900, 0,0xb0,     , 67, 25
  0,  0,  199994, 26,  0.2000, 0,0xb0,     , 67, 26
  0,  0,  260981, 27,  0.2610, 0,0x90,   G5, 79, 47
  0,  0,  289008, 28,  0.2890, 0,0x80,     , 78,  0
  0,  0,  339993, 29,  0.3400, 0,0xb0,     , 67, 27
  0,  0,  350005, 30,  0.3500, 0,0xb0,     , 67, 26
  0,  0,  360072, 31,  0.3601, 0,0xb0,     , 67, 27
  0,  0,  369992, 32,  0.3700, 0,0xb0,     , 67, 26
  0,  0,  374991, 33,  0.3750, 0,0x90,  G#5, 80, 49
  0,  0,  385000, 34,  0.3850, 0,0x80,     , 79,  0
  0,  0,  389988, 35,  0.3900, 0,0xb0,     , 67, 25
  0,  0,  399967, 36,  0.4000, 0,0xb0,     , 67, 26
  0,  0,  409956, 37,  0.4100, 0,0xb0,     , 67, 25
  0,  0,  420002, 38,  0.4200, 0,0xb0,     , 67, 26
  0,  0,  429981, 39,  0.4300, 0,0xb0,     , 67, 24
  0,  0,  439972, 40,  0.4400, 0,0xb0,     , 67, 26
  0,  0,  449976, 41,  0.4500, 0,0xb0,     , 67, 25
  0,  0,  460005, 42,  0.4600, 0,0xb0,     , 67, 26
  0,  0,  469995, 43,  0.4700, 0,0xb0,     , 67, 25
  0,  0,  477988, 44,  0.4780, 0,0x80,     , 80,  0
  0,  0,  491987, 45,  0.4920, 0,0x90,   A5, 81, 47
  0,  0,  520005, 46,  0.5200, 0,0xb0,     , 67, 24
  0,  0,  529976, 47,  0.5300, 0,0xb0,     , 67, 26
  0,  0,  539999, 48,  0.5400, 0,0xb0,     , 67, 24
