meas,index,voice,loc,tick,sec,dur,rval,dots,sci_pitch,dmark,dlevel,status,d0,d1,bar,section,bpm,grace,pedal
,1,,,0,0.000000,,,,,,,176,64,8,,,,,
,2,,,0,0.002604,,,,,,,176,64,7,,,,,
,3,,,0,0.013020,,,,,,,176,64,8,,,,,
,4,,,0,0.013020,,,,,,,176,67,21,,,,,
,5,,,0,0.023436,,,,,,,176,67,20,,,,,
,6,,,0,0.072912,,,,,,,176,64,7,,,,,
,7,,,0,0.083328,,,,,,,176,64,8,,,,,
,8,,,0,0.093744,,,,,,,176,64,7,,,,,
,9,,,0,0.114576,,,,,,,176,64,8,,,,,
,10,,,0,0.192696,,,,,,,176,64,7,,,,,
,11,,,0,0.203112,,,,,,,176,64,8,,,,,
,12,,,0,0.213528,,,,,,,176,64,7,,,,,
,13,,,0,0.223944,,,,,,,176,64,8,,,,,
,14,,,0,0.234360,,,,,,,176,64,7,,,,,
,15,,,0,0.252588,,,,,,,176,64,8,,,,,
,16,,,0,0.273420,,,,,,,176,64,7,,,,,
,17,,,0,0.283836,,,,,,,176,64,8,,,,,
,18,,,0,0.294252,,,,,,,176,64,7,,,,,
,19,,,0,0.304668,,,,,,,176,64,8,,,,,
,20,,,0,0.333312,,,,,,,176,64,7,,,,,
,21,,,0,0.343728,,,,,,,176,64,8,,,,,
,22,,,0,0.354144,,,,,,,176,64,7,,,,,
,23,,,0,0.364560,,,,,,,176,64,8,,,,,
,24,,,0,0.393204,,,,,,,176,64,7,,,,,
,25,,,0,0.403620,,,,,,,176,64,8,,,,,
,26,,,0,0.411432,,,,,,,176,64,7,,,,,
,27,,,0,0.421848,,,,,,,176,64,8,,,,,
,28,,,0,0.473928,,,,,,,176,64,7,,,,,
,29,,,0,0.512988,,,,,,,176,64,8,,,,,
,30,,,0,0.593712,,,,,,,176,64,7,,,,,
,31,,,0,0.622356,,,,,,,176,64,8,,,,,
,32,,,0,0.632772,,,,,,,176,64,7,,,,,
,33,,,0,0.643188,,,,,,,176,64,8,,,,,
,34,,,0,0.643188,,,,,,,176,67,21,,,,,
,35,,,0,0.653604,,,,,,,176,67,20,,,,,
,36,,,0,0.674436,,,,,,,176,64,7,,,,,
,37,,,0,0.692664,,,,,,,176,64,8,,,,,
,38,,,0,0.734328,,,,,,,176,64,7,,,,,
,39,,,0,0.742140,,,,,,,176,64,8,,,,,
,40,,,0,0.755160,,,,,,,176,64,7,,,,,
,41,,,0,0.762972,,,,,,,176,64,8,,,,,
,42,,,0,0.773388,,,,,,,176,67,21,,,,,
,43,,,0,0.783804,,,,,,,176,67,20,,,,,
,44,,,0,0.872340,,,,,,,176,64,7,,,,,
,45,,,0,0.882756,,,,,,,176,64,8,,,,,
,46,,,0,0.903588,,,,,,,176,64,7,,,,,
,47,,,0,0.914004,,,,,,,176,64,8,,,,,
,48,,,0,0.924420,,,,,,,176,64,7,,,,,
,49,,,0,0.942648,,,,,,,176,64,8,,,,,
,50,,,0,0.963480,,,,,,,176,64,7,,,,,
,51,,,0,0.973896,,,,,,,176,64,8,,,,,
,52,,,0,0.992124,,,,,,,176,64,7,,,,,
,53,,,0,1.012956,,,,,,,176,64,8,,,,,
,54,,,0,1.054620,,,,,,,176,64,7,,,,,
,55,,,0,1.065036,,,,,,,176,64,8,,,,,
,56,,,0,1.072848,,,,,,,176,64,7,,,,,
,57,,,0,1.093680,,,,,,,176,64,8,,,,,
,58,,,0,1.104096,,,,,,,176,64,7,,,,,
,59,,,0,1.114512,,,,,,,176,64,8,,,,,
,60,,,0,1.182216,,,,,,,176,64,7,,,,,
,61,,,0,1.203048,,,,,,,176,64,8,,,,,
,62,,,0,1.216068,,,,,,,176,67,22,,,,,
,63,,,0,1.223880,,,,,,,176,67,20,,,,,
,64,,,0,1.255128,,,,,,,176,64,7,,,,,
,65,,,0,1.262940,,,,,,,176,64,8,,,,,
,66,,,0,1.283772,,,,,,,176,67,19,,,,,
,67,,,0,1.294188,,,,,,,176,67,20,,,,,
,68,,,0,1.333248,,,,,,,176,64,7,,,,,
,69,,,0,1.354080,,,,,,,176,64,8,,,,,
,70,,,0,1.364496,,,,,,,176,64,7,,,,,
,71,,,0,1.364496,,,,,,,176,67,19,,,,,
,72,,,0,1.372308,,,,,,,176,64,8,,,,,
,73,,,0,1.374912,,,,,,,176,67,20,,,,,
,74,,,0,1.403556,,,,,,,176,64,7,,,,,
,75,,,0,1.432200,,,,,,,176,64,8,,,,,
,76,,,0,1.442616,,,,,,,176,64,7,,,,,
,77,,,0,1.463448,,,,,,,176,64,8,,,,,
,78,,,0,1.473864,,,,,,,176,64,7,,,,,
,79,,,0,1.492092,,,,,,,176,64,8,,,,,
,80,,,0,1.512924,,,,,,,176,64,7,,,,,
,81,,,0,1.523340,,,,,,,176,64,8,,,,,
,82,,,0,1.533756,,,,,,,176,64,7,,,,,
,83,,,0,1.544172,,,,,,,176,64,8,,,,,
,84,,,0,1.614480,,,,,,,176,64,7,,,,,
,85,,,0,1.622292,,,,,,,176,64,8,,,,,
,86,,,0,1.632708,,,,,,,176,64,7,,,,,
,87,,,0,1.663956,,,,,,,176,64,8,,,,,
,88,,,0,1.794156,,,,,,,176,64,7,,,,,
,89,,,0,1.812384,,,,,,,176,64,8,,,,,
,90,,,0,1.822800,,,,,,,176,64,7,,,,,
,91,,,0,1.833216,,,,,,,176,64,8,,,,,
,92,,,0,1.872276,,,,,,,176,64,7,,,,,
,93,,,0,1.882692,,,,,,,176,64,8,,,,,
,94,,,0,1.903524,,,,,,,176,64,7,,,,,
,95,,,0,1.913940,,,,,,,176,64,8,,,,,
,96,,,0,1.953000,,,,,,,176,64,7,,,,,
,97,,,0,1.984248,,,,,,,176,64,8,,,,,
,98,,,0,2.002476,,,,,,,176,64,7,,,,,
,99,,,0,2.012892,,,,,,,176,64,8,,,,,
,100,,,0,2.054556,,,,,,,176,64,7,,,,,
,101,,,0,2.072784,,,,,,,176,64,8,,,,,
,102,,,0,2.114448,,,,,,,176,64,7,,,,,
,103,,,0,2.122260,,,,,,,176,64,8,,,,,
,104,,,0,2.132676,,,,,,,176,64,7,,,,,
,105,,,0,2.163924,,,,,,,176,64,8,,,,,
,106,,,0,2.174340,,,,,,,176,64,7,,,,,
,107,,,0,2.182152,,,,,,,176,64,8,,,,,
,108,,,0,2.192568,,,,,,,176,64,7,,,,,
,109,,,0,2.213400,,,,,,,176,64,8,,,,,
,110,,,0,2.223816,,,,,,,176,64,7,,,,,
,111,,,0,2.234232,,,,,,,176,64,8,,,,,
,112,,,0,2.283708,,,,,,,176,64,7,,,,,
,113,,,0,2.294124,,,,,,,176,64,8,,,,,
,114,,,0,2.312352,,,,,,,176,64,7,,,,,
,115,,,0,2.322768,,,,,,,176,64,8,,,,,
,116,,,0,2.354016,,,,,,,176,64,7,,,,,
,117,,,0,2.382660,,,,,,,176,64,8,,,,,
,118,,,0,2.403492,,,,,,,176,64,7,,,,,
,119,,,0,2.413908,,,,,,,176,64,8,,,,,
,120,,,0,2.452968,,,,,,,176,64,7,,,,,
,121,,,0,2.463384,,,,,,,176,64,8,,,,,
,122,,,0,2.484216,,,,,,,176,64,7,,,,,
,123,,,0,2.505048,,,,,,,176,64,8,,,,,
,124,,,0,2.512860,,,,,,,176,64,7,,,,,
,125,,,0,2.523276,,,,,,,176,64,8,,,,,
,126,,,0,2.575356,,,,,,,176,64,7,,,,,
,127,,,0,2.575356,,,,,,,176,67,21,,,,,
,128,,,0,2.583168,,,,,,,176,64,8,,,,,
,129,,,0,2.585772,,,,,,,176,67,20,,,,,
,130,,,0,2.663892,,,,,,,176,64,7,,,,,
,131,,,0,2.682120,,,,,,,176,64,8,,,,,
,132,,,0,2.822736,,,,,,,176,64,7,,,,,
,133,,,0,2.843568,,,,,,,176,64,8,,,,,
,134,,,0,2.882628,,,,,,,176,64,7,,,,,
,135,,,0,2.903460,,,,,,,176,64,8,,,,,
,136,,,0,2.913876,,,,,,,176,64,7,,,,,
,137,,,0,2.932104,,,,,,,176,64,8,,,,,
,138,,,0,2.942520,,,,,,,176,64,7,,,,,
,139,,,0,2.952936,,,,,,,176,64,8,,,,,
,140,,,0,2.984184,,,,,,,176,64,7,,,,,
,141,,,0,2.991996,,,,,,,176,64,8,,,,,
,142,,,0,3.002412,,,,,,,176,64,7,,,,,
,143,,,0,3.012828,,,,,,,176,64,8,,,,,
,144,,,0,3.044076,,,,,,,176,67,21,,,,,
,145,,,0,3.051888,,,,,,,176,67,20,,,,,
,146,,,0,3.062304,,,,,,,176,64,7,,,,,
,147,,,0,3.072720,,,,,,,176,64,8,,,,,
,148,,,0,3.093552,,,,,,,176,64,7,,,,,
,149,,,0,3.103968,,,,,,,176,64,8,,,,,
,150,,,0,3.122196,,,,,,,176,64,7,,,,,
,151,,,0,3.132612,,,,,,,176,64,8,,,,,
,152,,,0,3.192504,,,,,,,176,64,7,,,,,
,153,,,0,3.202920,,,,,,,176,64,8,,,,,
,154,,,0,3.283644,,,,,,,176,64,7,,,,,
,155,,,0,3.294060,,,,,,,176,64,8,,,,,
,156,,,0,3.333120,,,,,,,176,64,7,,,,,
,157,,,0,3.364368,,,,,,,176,64,8,,,,,
,158,,,0,3.372180,,,,,,,176,64,7,,,,,
,159,,,0,3.382596,,,,,,,176,64,8,,,,,
,160,,,0,3.442488,,,,,,,176,64,7,,,,,
,161,,,0,3.452904,,,,,,,176,64,8,,,,,
,162,,,0,3.491964,,,,,,,176,64,7,,,,,
,163,,,0,3.502380,,,,,,,176,64,8,,,,,
,164,,,0,3.523212,,,,,,,176,64,7,,,,,
,165,,,0,3.533628,,,,,,,176,64,8,,,,,
,166,,,0,3.572688,,,,,,,176,64,7,,,,,
,167,,,0,3.603936,,,,,,,176,64,8,,,,,
,168,,,0,3.632580,,,,,,,176,64,7,,,,,
,169,,,0,3.642996,,,,,,,176,64,8,,,,,
,170,,,0,3.674244,,,,,,,176,64,7,,,,,
,171,,,0,3.682056,,,,,,,176,64,8,,,,,
,172,,,0,3.702888,,,,,,,176,64,7,,,,,
,173,,,0,3.713304,,,,,,,176,64,8,,,,,
,174,,,0,3.723720,,,,,,,176,64,7,,,,,
,175,,,0,3.726324,,,,,,,176,67,21,,,,,
,176,,,0,3.734136,,,,,,,176,67,20,,,,,
,177,,,0,3.741948,,,,,,,176,64,8,,,,,
,178,,,0,3.754968,,,,,,,176,64,7,,,,,
,179,,,0,3.754968,,,,,,,176,67,21,,,,,
,180,,,0,3.765384,,,,,,,176,67,20,,,,,
,181,,,0,3.773196,,,,,,,176,64,8,,,,,
,182,,,0,3.833088,,,,,,,176,64,7,,,,,
,183,,,0,3.843504,,,,,,,176,64,8,,,,,
,184,,,0,3.924228,,,,,,,176,64,7,,,,,
,185,,,0,3.963288,,,,,,,176,64,8,,,,,
,186,,,0,3.984120,,,,,,,176,64,7,,,,,
,187,,,0,3.991932,,,,,,,176,64,8,,,,,
,188,,,0,4.002348,,,,,,,176,64,7,,,,,
,189,,,0,4.012764,,,,,,,176,64,8,,,,,
,190,,,0,4.044012,,,,,,,176,64,7,,,,,
,191,,,0,4.051824,,,,,,,176,64,8,,,,,
,192,,,0,4.093488,,,,,,,176,64,7,,,,,
,193,,,0,4.103904,,,,,,,176,64,8,,,,,
,194,,,0,4.153380,,,,,,,176,64,7,,,,,
,195,,,0,4.174212,,,,,,,176,64,8,,,,,
,196,,,0,4.182024,,,,,,,176,67,19,,,,,
,197,,,0,4.192440,,,,,,,176,64,7,,,,,
,198,,,0,4.195044,,,,,,,176,67,20,,,,,
,199,,,0,4.202856,,,,,,,176,64,8,,,,,
,200,,,0,4.213272,,,,,,,176,64,7,,,,,
,201,,,0,4.223688,,,,,,,176,64,8,,,,,
,202,,,0,4.293996,,,,,,,176,64,7,,,,,
,203,,,0,4.312224,,,,,,,176,64,8,,,,,
,204,,,0,4.333056,,,,,,,176,64,7,,,,,
,205,,,0,4.353888,,,,,,,176,64,8,,,,,
,206,,,0,4.364304,,,,,,,176,64,7,,,,,
,207,,,0,4.372116,,,,,,,176,64,8,,,,,
,208,,,0,4.392948,,,,,,,176,64,9,,,,,
,209,,,0,4.403364,,,,,,,176,64,8,,,,,
,210,,,0,4.413780,,,,,,,176,64,10,,,,,
,211,,,0,4.424196,,,,,,,176,64,11,,,,,
,212,,,0,4.432008,,,,,,,176,64,9,,,,,
,213,,,0,4.442424,,,,,,,176,64,11,,,,,
,214,,,0,4.445028,,,,,,,176,67,21,,,,,
,215,,,0,4.452840,,,,,,,176,64,10,,,,,
,216,,,0,4.452840,,,,,,,176,67,22,,,,,
,217,,,0,4.463256,,,,,,,176,64,11,,,,,
,218,,,0,4.463256,,,,,,,176,67,20,,,,,
,219,,,0,4.473672,,,,,,,176,64,10,,,,,
,220,,,0,4.473672,,,,,,,176,67,24,,,,,
,221,,,0,4.484088,,,,,,,176,64,12,,,,,
,222,,,0,4.484088,,,,,,,176,67,20,,,,,
,223,,,0,4.491900,,,,,,,176,64,9,,,,,
,224,,,0,4.494504,,,,,,,176,67,25,,,,,
,225,,,0,4.502316,,,,,,,176,64,11,,,,,
,226,,,0,4.504920,,,,,,,176,67,24,,,,,
,227,,,0,4.512732,,,,,,,176,64,10,,,,,
,228,,,0,4.515336,,,,,,,176,67,26,,,,,
,229,,,0,4.523148,,,,,,,176,64,11,,,,,
,230,,,0,4.533564,,,,,,,176,64,12,,,,,
,231,,,0,4.533564,,,,,,,176,67,25,,,,,
,232,,,0,4.543980,,,,,,,176,64,11,,,,,
,233,,,0,4.543980,,,,,,,176,67,26,,,,,
,234,,,0,4.551792,,,,,,,176,64,12,,,,,
,235,,,0,4.554396,,,,,,,176,67,25,,,,,
,236,,,0,4.572624,,,,,,,176,67,26,,,,,
,237,,,0,4.583040,,,,,,,176,64,11,,,,,
,238,,,0,4.583040,,,,,,,176,67,24,,,,,
,239,,,0,4.593456,,,,,,,176,67,26,,,,,
,240,,,0,4.603872,,,,,,,176,64,12,,,,,
,241,,,0,4.603872,,,,,,,176,67,25,,,,,
,242,,,0,4.632516,,,,,,,176,67,26,,,,,
,243,,,0,4.642932,,,,,,,176,64,11,,,,,
,244,,,0,4.653348,,,,,,,176,64,12,,,,,
,245,,,0,4.653348,,,,,,,176,67,25,,,,,
,246,,,0,4.663764,,,,,,,176,67,26,,,,,
,247,,,0,4.674180,,,,,,,176,64,11,,,,,
,248,,,0,4.674180,,,,,,,176,67,25,,,,,
,249,,,0,4.681992,,,,,,,176,64,12,,,,,
,250,,,0,4.684596,,,,,,,176,67,26,,,,,
,251,,,0,4.692408,,,,,,,176,67,24,,,,,
,252,,,0,4.702824,,,,,,,176,67,26,,,,,
,253,,,0,4.734072,,,,,,,176,64,11,,,,,
,254,,,0,4.741884,,,,,,,176,64,12,,,,,
,255,,,0,4.752300,,,,,,,176,64,11,,,,,
,256,,,0,4.762716,,,,,,,176,64,12,,,,,
,257,,,0,4.773132,,,,,,,176,67,25,,,,,
,258,,,0,4.783548,,,,,,,176,67,26,,,,,
,259,,,0,4.833024,,,,,,,176,64,11,,,,,
,260,,,0,4.833024,,,,,,,176,67,27,,,,,
,261,,,0,4.843440,,,,,,,176,64,12,,,,,
,262,,,0,4.843440,,,,,,,176,67,26,,,,,
,263,,,0,4.872084,,,,,,,176,64,11,,,,,
,264,,,0,4.882500,,,,,,,176,64,12,,,,,
,265,,,0,4.885104,,,,,,,176,67,27,,,,,
,266,,,0,4.892916,,,,,,,176,67,26,,,,,
,267,,,0,4.924164,,,,,,,176,67,25,,,,,
,268,,,0,4.931976,,,,,,,176,67,26,,,,,
,269,,,0,4.952808,,,,,,,176,67,27,,,,,
,270,,,0,4.963224,,,,,,,176,64,11,,,,,
,271,,,0,4.973640,,,,,,,176,64,12,,,,,
,272,,,0,4.994472,,,,,,,176,64,11,,,,,
