  Score Score Score MIDI  MIDI MIDI
  Bar   UUID  Pitch UUID  Ptch Vel.
- ----- ----- ----- ----- ---- ----
m   302  6584   F#4   174  F#4  26
m   302  6585    E1   176   E1  36
m   302  6586   C#5   211  C#5  58
m   302  6587    A1   216   A1  56
m   302  6588   C#4   221  C#4  53
m   302  6589    A1   225   A1  45
m   302  6590   C#4   233  C#4  39
m   302  6591    A1   239   A1  29
m   302  6592   F#2   240  F#2  36
m   302  6593   C#4   241  C#4  36
m   302  6595   F#2   270  F#2 100
m   302  6594    A1   271   A1  95
m   302  6596   C#4   272  C#4 100
m   302  6597   D#5   290  D#5  55
m   302  6598    B4   291   B4  72
m   302  6599   C#4   292  C#4  42
m   302  6601    A1   313   A1  38
m   302  6602   F#2   329  F#2  28
m   302  6603   C#4   333  C#4  41
m   302  6604   F#2   343  F#2  34
m   302  6605    A1   347   A1  43
m   302  6606   C#4   354  C#4  36
m   302  6607   F#2   358  F#2  33
m   302  6608   C#4   368  C#4  36
m   302  6609    A1   375   A1  36
m   302  6610   F#2   384  F#2  34
m   302  6611   C#4   388  C#4  34
m   302  6612   F#2   389  F#2  28
m   302  6613    A1   394   A1  40
m   302  6614   C#4   398  C#4  36
m   302  6615   F#2   404  F#2  29
m   303  6617   C#4   414  C#4  39
m   303  6618    A1   417   A1  36
m   303  6619   F#2   423  F#2  29
m   303  6620   C#4   426  C#4  35
m   303  6621   F#2   427  F#2  31
m   303  6622    A1   432   A1  49
m   303  6623   C#4   440  C#4  44
m   303  6624   F#2   448  F#2  44
m   303  6625   C#4   460  C#4  47
m   303  6626    A1   468   A1  45
m   303  6627   F#2   478  F#2  46
m   303  6628   C#4   489  C#4  47
m   303  6630    A1   498   A1  30
m   303  6632   F#2   510  F#2  49
m   303  6633   C#4   533  C#4  53
m     0    -1         549  C#4  57
m   303  6635   F#2   550  F#2  58
m   303  6636    A1   557   A1  67
m   303  6635   F#2   571  F#2  42
m   303  6636    A1   583   A1  64
m   303  6637   D#5   584  D#5  56
m   303  6638    B4   590   B4  37
m   303  6640    B3   605   B3  26
m   303  6641   D#5   606  D#5  34
m   303  6642    G3   627   G3  31
m   303  6643    B4   628   B4  37
m   303  6644   D#5   646  D#5  40
m   303  6645    B4   661   B4  35
m   303  6647    G3   664   G3  34
m   303  6648   D#5   675  D#5  46
m   303  6649    G3   686   G3  58
m   303  6650    B4   701   B4  68
m   303  6651   G#5   722  G#5  81
m   303  6653   D#5   739  D#5  61
m   303  6652    G3   748   G3  53
m   303  6654    B4   751   B4  37
m   304  6658   D#5   780  D#5  41
m   304  6657    B4   783   B4  41
m   304  6659    G3   814   G3  54
m   304  6660    B4   829   B4  84
m   304  6661   D#5   830  D#5  84
m   304  6662   G#5   831  G#5  88
m   304  6663    A2   842   A2  72
m   304  6664    G3   856   G3  57
m   304  6666   D#5   858  D#5  70
m   304  6665    B4   863   B4  30
m   304  6667    A2   877   A2  56
m   304  6668    G3   888   G3  50
m   304  6669   G#6   905  G#6  61
m   304  6670   D#4   936  D#4  52
m   304  6671   G#5   952  G#5  62
m   304  6672    B3   960   B3  53
m   304  6673    G2  1009   G2  55
m   304  6674   D#3  1014  D#3  78
m   304  6675    B2  1021   B2  71
m   304  6678   D#5  1033  D#5  89
m   304  6677    B4  1034   B4  90
m   304  6676   G#4  1035  G#4  98
m   304  6679   G#5  1036  G#5  97
m   304  6680    A1  1059   A1  55
m   304  6681    G2  1061   G2  60
m   304  6682   D#4  1077  D#4  50
m   304  6683    B3  1085   B3  35
m   304  6684    G2  1095   G2  55
m   304  6685    A1  1103   A1  47
m   304  6688   D#4  1104  D#4  50
m   304  6687    B3  1106   B3  32
m   304  6686    G2  1109   G2  13
m   304  6689    A0  1119   A0  42
m   304  6691   G#4  1122  G#4  39
m   304  6690    G3  1123   G3  15
m   304  6693    A0  1140   A0  24
m   304  6695   F#2  1177  F#2  43
m   304  6694    A1  1178   A1  49
m   304  6696    F3  1181   F3  24
m   304  6697   C#4  1182  C#4  36
m   304  6700   F#2  1189  F#2  34
m   304  6699    A1  1191   A1  36
m   304  6701    F3  1192   F3  27
m   304  6702   C#4  1194  C#4  40
m   304  6698    G1  1196   G1  15
m   305  6704    E1  1233   E1  43
m   305  6705   F#4  1263  F#4  35
m   305  6706    C3  1268   C3  51
m   305  6708   F#1  1313  F#1  60
m   305  6709   A#4  1321  A#4  47
m   305  6710    D3  1330   D3  89
m   305  6712   F#1  1371  F#1  60
m   305  6714   A#4  1387  A#4  38
m   305  6716    D3  1398   D3  74
m   305  6715   F#2  1399  F#2  40
m   305  6717   A#3  1403  A#3  66
m   305  6718    D3  1413   D3  52
m   305  6720    G5  1416   G5  83
m   305  6719    D3  1429   D3  60
m   305  6721   G#3  1432  G#3  78
m     0    -1        1442   G6  94
m     0    -1        1459  G#3  68
m   305  6722    D3  1460   D3  38
m   305  6723   A#3  1462  A#3  67
m     0    -1        1469   G7 103
m     0    -1        1527   C3  42
m     0    -1        1534   C4  63
m     0    -1        1536  C#6  50
m   305  6726   G#3  1459  G#3  68
m   305  6725    D3  1460   D3  38
m   305  6727   A#3  1462  A#3  67
m   305  6728    G7  1469   G7 103
m   306  6732    C3  1527   C3  42
m   306  6731   C#6  1536  C#6  50
m   306  6734   F#4  1548  F#4  32
m   306  6736    A3  1552   A3  51
m   306  6738   F#4  1553  F#4  23
m   306  6740   C#6  1555  C#6  39
m   306  6739    A3  1563   A3  35
m   306  6740   C#6  1570  C#6  37
m   306  6741   F#4  1572  F#4  28
m   306  6742   C#6  1578  C#6  31
m   306  6743   F#4  1582  F#4  29
m   306  6744    A3  1584   A3  35
m   306  6745   C#6  1591  C#6  36
m   306  6746   F#4  1593  F#4  30
m   306  6747    A3  1598   A3  37
m   306  6748   C#6  1608  C#6  37
m   306  6747    A3  1609   A3  19
m   306  6749   F#4  1610  F#4  27
m   306  6752    F4  1614   F4  74
m   306  6751    C4  1615   C4  61
m   306  6750   C#6  1616  C#6  53
m   306  6753   F#4  1626  F#4  20
m   306  6754    A3  1629   A3  26
m   306  6755   C#6  1631  C#6  31
m   306  6756   F#4  1638  F#4  35
m   306  6757    A3  1643   A3  23
m   306  6758   C#6  1652  C#6  41
m   306  6759   F#4  1658  F#4  30
m   306  6760   C#6  1662  C#6  37
m   306  6761   F#4  1666  F#4  20
m   306  6762    A3  1667   A3  34
m   306  6764   F#4  1676  F#4  36
m   306  6766   C#6  1679  C#6  34
m   306  6765    A3  1682   A3  43
m   306  6767   F#4  1687  F#4  31
m   307  6769   C#6  1688  C#6  32
m   307  6771    F4  1698   F4  63
m   307  6770    C4  1699   C4  43
m   307  6769   C#6  1700  C#6  50
m   307  6772   F#4  1703  F#4  49
m   307  6773    A3  1712   A3  25
m   307  6775   F#4  1714  F#4  49
m   307  6774   C#6  1716  C#6  33
m     0    -1        1736  G#3  70
m     0    -1        1756  C#6  47
m   307  6775   F#4  1765  F#4  46
m   307  6776    A3  1770   A3  22
m   307  6778   C#6  1771  C#6  30
m     0    -1        1787   F5  51
m   307  6777   G#3  1796  G#3  69
m     0    -1        1797   F4  76
m     0    -1        1798   C4  74
m     0    -1        1822   G3  30
m     0    -1        1837  F#3  39
m   307  6783    F5  1787   F5  51
